역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
201,시청,승차,05시-06시,"Triangular(min=22.068, mode=32.000, max=49.186)","(np.float64(0.36625997577675445), np.float64(22.067899871414408), np.float64(27.11762344357389))",199,"Lognormal(normalMean=4.325, normalStdDev=0.086)","(np.float64(0.08589908275141589), -44.72093007960895, np.float64(75.56186357014755))",150,평일,2,"['mean', 'median']"
201,시청,승차,06시-07시,"Triangular(min=0.000, mode=83.000, max=130.966)","(np.float64(0.6337516910003433), 0, np.float64(130.96611994930564))",208,"Triangular(min=0.000, mode=55.000, max=111.797)","(np.float64(0.4919614450783721), 0, np.float64(111.7973787712422))",156,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,07시-08시,"Triangular(min=0.000, mode=233.000, max=288.542)","(np.float64(0.8075079889105068), 0, np.float64(288.54203673606565))",208,"Triangular(min=18.000, mode=18.000, max=268.318)","(np.float64(3.1422297488054676e-07), np.float64(17.999896479462087), np.float64(250.31816770002195))",147,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,08시-09시,"Triangular(min=0.000, mode=360.000, max=441.514)","(np.float64(0.8153756786343357), 0, np.float64(441.51427309961247))",208,"Lognormal(normalMean=5.163, normalStdDev=0.506)","(np.float64(0.5059042819133261), -26.1356747789904, np.float64(174.7584182307885))",150,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,09시-10시,"Triangular(min=53.830, mode=482.000, max=626.411)","(np.float64(0.7477901623858141), np.float64(53.82970989414609), np.float64(572.5808009155819))",208,"Normal(mean=289.173, stdDev=138.633)","(np.float64(289.1730769230769), np.float64(138.63252307678422))",156,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,10시-11시,"Triangular(min=99.103, mode=682.000, max=836.990)","(np.float64(0.7899539595312413), np.float64(99.10289945249151), np.float64(737.8874344667036))",208,"Normal(mean=433.019, stdDev=185.980)","(np.float64(433.01935483870966), np.float64(185.9795157283498))",155,평일,2,"['mean', 'median']"
201,시청,승차,11시-12시,"Triangular(min=217.588, mode=883.000, max=1166.018)","(np.float64(0.7015927985356121), np.float64(217.5882327252702), np.float64(948.4301558730878))",206,"Triangular(min=130.216, mode=488.000, max=1199.400)","(np.float64(0.3346324655074847), np.float64(130.216251097204), np.float64(1069.1842117997144))",156,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,12시-13시,"Triangular(min=523.037, mode=777.000, max=1065.581)","(np.float64(0.46809630139819414), np.float64(523.0368856710613), np.float64(542.5445865924148))",198,"Weibull(shape=2.188, scale=502.081)","(np.float64(2.188493616533389), np.float64(253.0818924083104), np.float64(502.08070942792824))",155,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,13시-14시,"Weibull(shape=3.323, scale=381.224)","(np.float64(3.3231139355381916), np.float64(658.9702326558871), np.float64(381.22383827611446))",196,"Weibull(shape=2.291, scale=659.410)","(np.float64(2.291231255922472), np.float64(260.28086502911833), np.float64(659.4101226582613))",156,평일,3,"['mean', 'median', 'mode']"
201,시청,승차,14시-15시,"Triangular(min=619.913, mode=1177.000, max=1619.520)","(np.float64(0.5573060037072705), np.float64(619.9131049928503), np.float64(999.6068430993046))",204,"Weibull(shape=2.320, scale=794.187)","(np.float64(2.320135707878624), np.float64(290.4008910543926), np.float64(794.1872863963454))",154,평일,3,"['mean', 'median', 'mode']"
