역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
201,시청,하차,05시-06시,"Triangular(min=55.817, mode=77.000, max=99.708)","(np.float64(0.4826273601974896), np.float64(55.81669081425325), np.float64(43.891645869031336))",195,"Triangular(min=12.728, mode=20.000, max=101.061)","(np.float64(0.08232797995191773), np.float64(12.72767849938856), np.float64(88.33353503300239))",156,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,06시-07시,"Triangular(min=0.000, mode=796.000, max=1062.584)","(np.float64(0.7491173004077631), 0, np.float64(1062.5839233684787))",208,"Triangular(min=0.000, mode=799.000, max=839.129)","(np.float64(0.9521782704795644), 0, np.float64(839.1285799409438))",156,평일,2,"['mean', 'median']"
201,시청,하차,07시-08시,"Triangular(min=0.000, mode=3429.000, max=3648.645)","(np.float64(0.9398010278103032), 0, np.float64(3648.6446583200122))",208,"Triangular(min=15.000, mode=15.000, max=999.897)","(np.float64(1.6376055396857997e-11), np.float64(14.999999970943348), np.float64(984.8971949745344))",118,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,08시-09시,"Triangular(min=0.000, mode=10933.000, max=10933.000)","(np.float64(0.9999999993530346), 0, np.float64(10933.000096655236))",208,"Gamma(alpha=8.110, beta=65.786)","(np.float64(8.110079361207617), np.float64(-110.9681714037981), np.float64(65.78572908250781))",118,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,09시-10시,"Triangular(min=2805.316, mode=4073.000, max=4750.926)","(np.float64(0.6515613173820944), np.float64(2805.316307300749), np.float64(1945.6091988203993))",192,"Triangular(min=80.025, mode=142.000, max=5391.322)","(np.float64(0.011668459929875944), np.float64(80.02535285680636), np.float64(5311.296222097184))",156,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,10시-11시,"Normal(mean=1192.039, stdDev=191.250)","(np.float64(1192.0392156862745), np.float64(191.24978986200395))",153,"Triangular(min=129.612, mode=565.000, max=1630.702)","(np.float64(0.2900478810731055), np.float64(129.61219908747347), np.float64(1501.0894039400162))",144,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,11시-12시,"Gamma(alpha=566.612, beta=5.553)","(np.float64(566.6121349244133), np.float64(-2144.7961449456016), np.float64(5.553247092627858))",155,"Triangular(min=221.614, mode=978.000, max=1358.809)","(np.float64(0.6651331314545539), np.float64(221.614018126984), np.float64(1137.1948653724137))",142,평일,2,"['mean', 'median']"
201,시청,하차,12시-13시,"Lognormal(normalMean=6.305, normalStdDev=0.228)","(np.float64(0.227982809555635), 403.2573208834294, np.float64(547.387028359962))",190,"Triangular(min=332.874, mode=961.000, max=1346.658)","(np.float64(0.6195856001338682), np.float64(332.8738379801532), np.float64(1013.7843130446483))",152,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,13시-14시,"Triangular(min=730.745, mode=977.000, max=1243.054)","(np.float64(0.48067633948776634), np.float64(730.7451376931614), np.float64(512.3090988213763))",191,"Triangular(min=325.345, mode=982.000, max=1411.097)","(np.float64(0.6047928673499638), np.float64(325.34486167462273), np.float64(1085.7521207253963))",150,평일,3,"['mean', 'median', 'mode']"
201,시청,하차,14시-15시,"Weibull(shape=2.931, scale=280.365)","(np.float64(2.931367626929701), np.float64(607.846241545283), np.float64(280.3650751111587))",195,"Triangular(min=355.795, mode=936.000, max=1260.792)","(np.float64(0.6411128959815775), np.float64(355.79511441007605), np.float64(904.9964354558763))",147,평일,2,"['mean', 'mode']"
