역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
201,시청,승차,05시-06시,"Lognormal(normalMean=4.325, normalStdDev=0.086)",0.05367,0.759881,150,성공
201,시청,승차,06시-07시,"Triangular(min=0.000, mode=55.000, max=111.797)",0.250556,0.0,156,실패
201,시청,승차,07시-08시,"Triangular(min=18.000, mode=18.000, max=268.318)",0.11289,0.043539,147,실패
201,시청,승차,08시-09시,"Lognormal(normalMean=5.163, normalStdDev=0.506)",0.078232,0.301706,150,성공
201,시청,승차,09시-10시,"Normal(mean=289.173, stdDev=138.633)",0.076297,0.308096,156,성공
201,시청,승차,10시-11시,"Normal(mean=433.019, stdDev=185.980)",0.07745,0.294916,155,성공
201,시청,승차,11시-12시,"Triangular(min=130.216, mode=488.000, max=1199.400)",0.077342,0.292962,156,성공
201,시청,승차,12시-13시,"Weibull(shape=2.188, scale=502.081)",0.056291,0.688334,155,성공
201,시청,승차,13시-14시,"Weibull(shape=2.291, scale=659.410)",0.065233,0.499743,156,성공
201,시청,승차,14시-15시,"Weibull(shape=2.320, scale=794.187)",0.052758,0.764337,154,성공
201,시청,승차,15시-16시,"Gamma(alpha=4.342, beta=211.277)",0.067453,0.473278,152,성공
201,시청,승차,16시-17시,"Gamma(alpha=2.747, beta=360.218)",0.071214,0.404968,152,성공
201,시청,승차,17시-18시,"Triangular(min=594.532, mode=594.532, max=5590.714)",0.29396,0.0,148,실패
201,시청,승차,18시-19시,"Weibull(shape=1.564, scale=851.305)",0.099976,0.176584,118,성공
201,시청,승차,19시-20시,"Triangular(min=0.000, mode=2266.000, max=2808.293)",0.297912,0.0,144,실패
201,시청,승차,20시-21시,"Triangular(min=299.682, mode=561.000, max=2424.756)",0.081072,0.288367,143,성공
201,시청,승차,21시-22시,"Weibull(shape=1.419, scale=844.218)",0.102294,0.074197,154,성공
201,시청,승차,22시-23시,"Triangular(min=219.994, mode=220.000, max=1803.708)",0.093686,0.121291,156,성공
201,시청,승차,23시-24시,"Triangular(min=57.000, mode=57.000, max=982.217)",0.165022,0.000799,141,실패
201,시청,승차,24시-01시,"Triangular(min=0.000, mode=1.000, max=409.593)",0.53619,0.0,131,실패
201,시청,승차,01시-02시,"Weibull(shape=2.773, scale=358.047)",0.061969,0.602634,147,성공
201,시청,승차,02시-03시,"Weibull(shape=2.657, scale=295.269)",0.0804,0.271952,150,성공
201,시청,승차,03시-04시,"Weibull(shape=2.611, scale=248.831)",0.077999,0.323973,145,성공
201,시청,승차,04시-05시,"Weibull(shape=2.790, scale=189.616)",0.038025,0.975357,151,성공
202,을지로입구,승차,05시-06시,"Triangular(min=44.616, mode=84.000, max=119.740)",0.035118,0.989921,149,성공
202,을지로입구,승차,06시-07시,"Triangular(min=0.000, mode=100.000, max=211.336)",0.255036,0.0,155,실패
202,을지로입구,승차,07시-08시,"Normal(mean=147.803, stdDev=61.208)",0.078323,0.421191,122,성공
202,을지로입구,승차,08시-09시,"Lognormal(normalMean=5.725, normalStdDev=0.638)",0.083007,0.2294,153,성공
202,을지로입구,승차,09시-10시,"Normal(mean=553.000, stdDev=245.162)",0.097794,0.112384,147,성공
202,을지로입구,승차,10시-11시,"Weibull(shape=5.733, scale=1489.312)",0.087315,0.185601,152,성공
202,을지로입구,승차,11시-12시,"Triangular(min=307.304, mode=1337.000, max=1841.330)",0.064145,0.525395,155,성공
202,을지로입구,승차,12시-13시,"Weibull(shape=3.717, scale=1182.543)",0.054074,0.74133,153,성공
202,을지로입구,승차,13시-14시,"Weibull(shape=2.650, scale=1070.598)",0.077655,0.299084,153,성공
202,을지로입구,승차,14시-15시,"Weibull(shape=3.068, scale=1400.908)",0.106371,0.060894,151,성공
202,을지로입구,승차,15시-16시,"Weibull(shape=3.352, scale=1814.543)",0.063042,0.564098,151,성공
202,을지로입구,승차,16시-17시,"Lognormal(normalMean=9.375, normalStdDev=0.065)",0.086578,0.190202,153,성공
202,을지로입구,승차,17시-18시,"Weibull(shape=1.258, scale=1195.240)",0.082442,0.353865,123,성공
202,을지로입구,승차,18시-19시,"Lognormal(normalMean=8.299, normalStdDev=0.210)",0.065925,0.654475,119,성공
202,을지로입구,승차,19시-20시,"Triangular(min=724.817, mode=2301.000, max=6830.441)",0.104674,0.079245,144,성공
202,을지로입구,승차,20시-21시,"Triangular(min=1274.662, mode=3062.000, max=5327.319)",0.077003,0.363443,139,성공
202,을지로입구,승차,21시-22시,"Triangular(min=587.652, mode=1875.000, max=4063.457)",0.089413,0.194291,142,성공
202,을지로입구,승차,22시-23시,"Weibull(shape=2.044, scale=1758.430)",0.100321,0.098779,146,성공
202,을지로입구,승차,23시-24시,"Triangular(min=232.984, mode=393.000, max=2193.180)",0.082248,0.272845,143,성공
202,을지로입구,승차,24시-01시,"Triangular(min=0.000, mode=1.000, max=2111.013)",0.531351,0.0,146,실패
202,을지로입구,승차,01시-02시,"Weibull(shape=2.367, scale=198.772)",0.079093,0.289625,150,성공
202,을지로입구,승차,02시-03시,"Weibull(shape=2.514, scale=175.110)",0.078637,0.295974,150,성공
202,을지로입구,승차,03시-04시,"Weibull(shape=2.518, scale=158.776)",0.082761,0.238737,151,성공
202,을지로입구,승차,04시-05시,"Weibull(shape=2.455, scale=76.520)",0.08132,0.256578,151,성공
203,을지로3가,승차,05시-06시,"Weibull(shape=2.841, scale=25.834)",0.044497,0.918483,148,성공
203,을지로3가,승차,06시-07시,"Triangular(min=0.000, mode=77.000, max=141.708)",0.256044,0.0,156,실패
203,을지로3가,승차,07시-08시,"Triangular(min=13.759, mode=40.000, max=328.773)",0.091214,0.140146,156,성공
203,을지로3가,승차,08시-09시,"Normal(mean=267.673, stdDev=148.280)",0.104818,0.060305,156,성공
203,을지로3가,승차,09시-10시,"Normal(mean=373.353, stdDev=173.381)",0.07554,0.319374,156,성공
203,을지로3가,승차,10시-11시,"Triangular(min=164.164, mode=656.000, max=933.084)",0.071742,0.412087,148,성공
203,을지로3가,승차,11시-12시,"Weibull(shape=5.460, scale=675.587)",0.054296,0.810954,132,성공
203,을지로3가,승차,12시-13시,"Weibull(shape=4.356, scale=499.823)",0.050525,0.828592,147,성공
203,을지로3가,승차,13시-14시,"Triangular(min=573.598, mode=792.000, max=1241.729)",0.060499,0.636773,146,성공
203,을지로3가,승차,14시-15시,"Triangular(min=593.883, mode=871.000, max=1416.862)",0.119479,0.027578,147,실패
203,을지로3가,승차,15시-16시,"Weibull(shape=1.609, scale=424.647)",0.084811,0.214979,151,성공
203,을지로3가,승차,16시-17시,"Triangular(min=363.839, mode=1100.000, max=2224.337)",0.089626,0.158477,154,성공
203,을지로3가,승차,17시-18시,"Weibull(shape=3.381, scale=941.913)",0.0857,0.332392,118,성공
203,을지로3가,승차,18시-19시,"Lognormal(normalMean=7.192, normalStdDev=0.238)",0.065006,0.676344,118,성공
203,을지로3가,승차,19시-20시,"Triangular(min=0.000, mode=2214.000, max=2435.298)",0.396336,0.0,144,실패
203,을지로3가,승차,20시-21시,"Weibull(shape=3.116, scale=1100.047)",0.085986,0.224208,144,성공
203,을지로3가,승차,21시-22시,"Triangular(min=173.637, mode=730.000, max=2628.275)",0.100487,0.07989,156,성공
203,을지로3가,승차,22시-23시,"Triangular(min=90.362, mode=1417.000, max=2126.468)",0.160419,0.000565,156,실패
203,을지로3가,승차,23시-24시,"Normal(mean=866.090, stdDev=442.215)",0.091569,0.137301,156,성공
203,을지로3가,승차,24시-01시,"Triangular(min=0.000, mode=1.000, max=746.452)",0.551919,0.0,131,실패
203,을지로3가,승차,01시-02시,"Triangular(min=50.668, mode=61.000, max=351.485)",0.138781,0.005338,151,실패
203,을지로3가,승차,02시-03시,"Weibull(shape=1.642, scale=105.411)",0.109255,0.050335,151,성공
203,을지로3가,승차,03시-04시,"Triangular(min=14.891, mode=48.000, max=202.731)",0.149755,0.002021,151,실패
203,을지로3가,승차,04시-05시,"Lognormal(normalMean=4.971, normalStdDev=0.129)",0.096705,0.103048,155,성공
