역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
201,시청,하차,05시-06시,"Triangular(min=12.728, mode=20.000, max=101.061)",0.110392,0.041266,156,실패
201,시청,하차,06시-07시,"Triangular(min=0.000, mode=799.000, max=839.129)",0.519511,0.0,156,실패
201,시청,하차,07시-08시,"Triangular(min=15.000, mode=15.000, max=999.897)",0.362801,0.0,118,실패
201,시청,하차,08시-09시,"Gamma(alpha=8.110, beta=65.786)",0.086773,0.318115,118,성공
201,시청,하차,09시-10시,"Triangular(min=80.025, mode=142.000, max=5391.322)",0.39152,0.0,156,실패
201,시청,하차,10시-11시,"Triangular(min=129.612, mode=565.000, max=1630.702)",0.073199,0.4039,144,성공
201,시청,하차,11시-12시,"Triangular(min=221.614, mode=978.000, max=1358.809)",0.066441,0.535558,142,성공
201,시청,하차,12시-13시,"Triangular(min=332.874, mode=961.000, max=1346.658)",0.081185,0.254936,152,성공
201,시청,하차,13시-14시,"Triangular(min=325.345, mode=982.000, max=1411.097)",0.049619,0.835819,150,성공
201,시청,하차,14시-15시,"Triangular(min=355.795, mode=936.000, max=1260.792)",0.086757,0.206168,147,성공
201,시청,하차,15시-16시,"Weibull(shape=3.076, scale=645.925)",0.085356,0.21829,148,성공
201,시청,하차,16시-17시,"Gamma(alpha=131.710, beta=21.617)",0.075441,0.351049,148,성공
201,시청,하차,17시-18시,"Triangular(min=139.779, mode=804.000, max=1609.214)",0.141687,0.003538,155,실패
201,시청,하차,18시-19시,"Triangular(min=186.917, mode=281.000, max=1625.796)",0.08613,0.189122,155,성공
201,시청,하차,19시-20시,"Triangular(min=139.925, mode=225.000, max=865.497)",0.076826,0.38802,134,성공
201,시청,하차,20시-21시,"Lognormal(normalMean=5.979, normalStdDev=0.143)",0.052935,0.840444,130,성공
201,시청,하차,21시-22시,"Weibull(shape=3.092, scale=180.526)",0.042667,0.951217,140,성공
201,시청,하차,22시-23시,"Weibull(shape=3.300, scale=161.127)",0.037451,0.980033,149,성공
201,시청,하차,23시-24시,"Triangular(min=77.607, mode=199.000, max=333.370)",0.050293,0.829735,148,성공
201,시청,하차,24시-01시,"Lognormal(normalMean=3.842, normalStdDev=1.291)",0.093601,0.137838,149,성공
201,시청,하차,01시-02시,"Weibull(shape=2.628, scale=243.543)",0.072173,0.392495,151,성공
201,시청,하차,02시-03시,"Normal(mean=274.546, stdDev=77.327)",0.084341,0.217152,152,성공
201,시청,하차,03시-04시,"Normal(mean=231.583, stdDev=62.352)",0.095786,0.117246,151,성공
201,시청,하차,04시-05시,"Lognormal(normalMean=8.277, normalStdDev=0.013)",0.074252,0.342938,155,성공
202,을지로입구,하차,05시-06시,"Gamma(alpha=10.657, beta=5.721)",0.057286,0.690546,149,성공
202,을지로입구,하차,06시-07시,"Triangular(min=0.000, mode=1.000, max=1086.370)",0.295756,0.0,130,실패
202,을지로입구,하차,07시-08시,"Triangular(min=0.000, mode=642.000, max=818.771)",0.308781,0.0,118,실패
202,을지로입구,하차,08시-09시,"Weibull(shape=51673994.047, scale=14406848262.565)",0.102501,0.2233,101,성공
202,을지로입구,하차,09시-10시,"Triangular(min=0.000, mode=466.000, max=9279.114)",0.203822,4e-06,156,실패
202,을지로입구,하차,10시-11시,"Weibull(shape=3.107, scale=2022.456)",0.076617,0.352784,143,성공
202,을지로입구,하차,11시-12시,"Weibull(shape=3.987, scale=1373.694)",0.071026,0.463568,139,성공
202,을지로입구,하차,12시-13시,"Weibull(shape=2.358, scale=808.081)",0.043279,0.940919,143,성공
202,을지로입구,하차,13시-14시,"Weibull(shape=2.542, scale=847.794)",0.051668,0.804863,148,성공
202,을지로입구,하차,14시-15시,"Weibull(shape=2.360, scale=763.286)",0.045784,0.907661,145,성공
