역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
201,시청,승차,05시-06시,"Triangular(min=22.068, mode=32.000, max=49.186)",0.065064,0.353325,199,성공
201,시청,승차,06시-07시,"Triangular(min=0.000, mode=83.000, max=130.966)",0.246688,0.0,208,실패
201,시청,승차,07시-08시,"Triangular(min=0.000, mode=233.000, max=288.542)",0.269204,0.0,208,실패
201,시청,승차,08시-09시,"Triangular(min=0.000, mode=360.000, max=441.514)",0.214321,0.0,208,실패
201,시청,승차,09시-10시,"Triangular(min=53.830, mode=482.000, max=626.411)",0.117954,0.005597,208,실패
201,시청,승차,10시-11시,"Triangular(min=99.103, mode=682.000, max=836.990)",0.111916,0.01004,208,실패
201,시청,승차,11시-12시,"Triangular(min=217.588, mode=883.000, max=1166.018)",0.129047,0.001887,206,실패
201,시청,승차,12시-13시,"Triangular(min=523.037, mode=777.000, max=1065.581)",0.040282,0.891877,198,성공
201,시청,승차,13시-14시,"Weibull(shape=3.323, scale=381.224)",0.085163,0.109883,196,성공
201,시청,승차,14시-15시,"Triangular(min=619.913, mode=1177.000, max=1619.520)",0.070515,0.250432,204,성공
201,시청,승차,15시-16시,"Triangular(min=766.765, mode=1461.000, max=1925.415)",0.064337,0.360824,201,성공
201,시청,승차,16시-17시,"Triangular(min=755.711, mode=1866.000, max=2581.498)",0.079648,0.138778,206,성공
201,시청,승차,17시-18시,"Triangular(min=122.222, mode=4522.000, max=5531.377)",0.206841,0.0,208,실패
201,시청,승차,18시-19시,"Triangular(min=0.000, mode=7919.000, max=8633.564)",0.43828,0.0,208,실패
201,시청,승차,19시-20시,"Normal(mean=2568.117, stdDev=117.462)",0.027857,0.999729,145,성공
201,시청,승차,20시-21시,"Normal(mean=1995.755, stdDev=160.469)",0.059503,0.653005,147,성공
201,시청,승차,21시-22시,"Weibull(shape=2.345, scale=743.293)",0.08579,0.111709,192,성공
201,시청,승차,22시-23시,"Triangular(min=382.046, mode=2024.000, max=2024.000)",0.379078,0.0,192,실패
201,시청,승차,23시-24시,"Lognormal(normalMean=7.957, normalStdDev=0.048)",0.080491,0.241073,159,성공
201,시청,승차,24시-01시,"Triangular(min=0.000, mode=46.000, max=275.997)",0.453782,0.0,157,실패
201,시청,승차,01시-02시,"Triangular(min=279.427, mode=343.000, max=467.619)",0.041202,0.888502,191,성공
