역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
201,시청,하차,05시-06시,"Triangular(min=55.817, mode=77.000, max=99.708)",0.050612,0.680624,195,성공
201,시청,하차,06시-07시,"Triangular(min=0.000, mode=796.000, max=1062.584)",0.251848,0.0,208,실패
201,시청,하차,07시-08시,"Triangular(min=0.000, mode=3429.000, max=3648.645)",0.351982,0.0,208,실패
201,시청,하차,08시-09시,"Triangular(min=0.000, mode=10933.000, max=10933.000)",0.481225,0.0,208,실패
201,시청,하차,09시-10시,"Triangular(min=2805.316, mode=4073.000, max=4750.926)",0.064948,0.376685,192,성공
201,시청,하차,10시-11시,"Normal(mean=1192.039, stdDev=191.250)",0.088296,0.173295,153,성공
201,시청,하차,11시-12시,"Gamma(alpha=566.612, beta=5.553)",0.039464,0.961408,155,성공
201,시청,하차,12시-13시,"Lognormal(normalMean=6.305, normalStdDev=0.228)",0.050599,0.695999,190,성공
201,시청,하차,13시-14시,"Triangular(min=730.745, mode=977.000, max=1243.054)",0.029291,0.995163,191,성공
201,시청,하차,14시-15시,"Weibull(shape=2.931, scale=280.365)",0.039217,0.913503,195,성공
201,시청,하차,15시-16시,"Gamma(alpha=10.897, beta=35.406)",0.034573,0.971135,190,성공
201,시청,하차,16시-17시,"Gamma(alpha=21.867, beta=20.598)",0.047071,0.765025,194,성공
201,시청,하차,17시-18시,"Weibull(shape=2.995, scale=307.958)",0.042165,0.875681,189,성공
201,시청,하차,18시-19시,"Weibull(shape=3.541, scale=528.187)",0.07337,0.238005,193,성공
201,시청,하차,19시-20시,"Triangular(min=231.713, mode=417.000, max=784.681)",0.180482,2.3e-05,172,실패
201,시청,하차,20시-21시,"Normal(mean=270.389, stdDev=41.333)",0.055016,0.70769,157,성공
201,시청,하차,21시-22시,"Lognormal(normalMean=5.149, normalStdDev=0.391)",0.067512,0.31618,197,성공
201,시청,하차,22시-23시,"Triangular(min=134.265, mode=248.000, max=358.012)",0.032233,0.97839,206,성공
201,시청,하차,23시-24시,"Lognormal(normalMean=4.755, normalStdDev=0.385)",0.070616,0.28603,190,성공
201,시청,하차,24시-01시,"Weibull(shape=1.366, scale=36.253)",0.072351,0.351432,161,성공
201,시청,하차,01시-02시,"Weibull(shape=3.054, scale=84.820)",0.041445,0.895118,185,성공
201,시청,하차,02시-03시,"Lognormal(normalMean=8.427, normalStdDev=0.006)",0.033291,0.979354,191,성공
201,시청,하차,03시-04시,"Weibull(shape=3.140, scale=72.209)",0.047561,0.751317,195,성공
201,시청,하차,04시-05시,"Triangular(min=106.679, mode=157.000, max=199.259)",0.046726,0.759579,199,성공
202,을지로입구,하차,05시-06시,"Weibull(shape=4.420, scale=54.545)",0.043383,0.836354,197,성공
202,을지로입구,하차,06시-07시,"Triangular(min=0.000, mode=1256.000, max=1332.993)",0.253756,0.0,208,실패
202,을지로입구,하차,07시-08시,"Triangular(min=0.000, mode=6452.000, max=6452.000)",0.410736,0.0,208,실패
202,을지로입구,하차,08시-09시,"Triangular(min=0.000, mode=16764.000, max=16764.000)",0.474242,0.0,208,실패
202,을지로입구,하차,09시-10시,"Triangular(min=5532.184, mode=6889.000, max=7872.470)",0.053902,0.616013,191,성공
202,을지로입구,하차,10시-11시,"Lognormal(normalMean=9.057, normalStdDev=0.038)",0.081613,0.256256,150,성공
202,을지로입구,하차,11시-12시,"Normal(mean=2274.353, stdDev=188.992)",0.0444,0.910333,153,성공
202,을지로입구,하차,12시-13시,"Triangular(min=1455.380, mode=1928.000, max=2980.703)",0.235649,0.0,168,실패
202,을지로입구,하차,13시-14시,"Weibull(shape=2.417, scale=508.850)",0.055492,0.540845,203,성공
202,을지로입구,하차,14시-15시,"Weibull(shape=2.885, scale=536.991)",0.055384,0.549616,201,성공
202,을지로입구,하차,15시-16시,"Triangular(min=1323.055, mode=1762.000, max=2293.566)",0.046371,0.759862,202,성공
202,을지로입구,하차,16시-17시,"Normal(mean=1755.718, stdDev=155.278)",0.031957,0.98755,188,성공
202,을지로입구,하차,17시-18시,"Weibull(shape=2.773, scale=820.201)",0.043517,0.846692,191,성공
202,을지로입구,하차,18시-19시,"Normal(mean=2240.150, stdDev=365.219)",0.056425,0.551405,193,성공
202,을지로입구,하차,19시-20시,"Triangular(min=760.769, mode=1295.000, max=2522.893)",0.127334,0.00242,204,실패
202,을지로입구,하차,20시-21시,"Gamma(alpha=43.110, beta=19.021)",0.073774,0.339439,158,성공
202,을지로입구,하차,21시-22시,"Lognormal(normalMean=6.401, normalStdDev=0.214)",0.061843,0.532796,165,성공
202,을지로입구,하차,22시-23시,"Gamma(alpha=5.349, beta=58.132)",0.039399,0.900036,202,성공
202,을지로입구,하차,23시-24시,"Lognormal(normalMean=5.438, normalStdDev=0.507)",0.096099,0.064865,182,성공
202,을지로입구,하차,24시-01시,"Lognormal(normalMean=4.461, normalStdDev=0.417)",0.072122,0.366259,158,성공
202,을지로입구,하차,01시-02시,"Weibull(shape=2.868, scale=46.874)",0.0478,0.751369,193,성공
202,을지로입구,하차,02시-03시,"Triangular(min=56.244, mode=91.000, max=124.272)",0.028771,0.995033,199,성공
202,을지로입구,하차,03시-04시,"Triangular(min=53.470, mode=84.000, max=118.653)",0.042175,0.849889,202,성공
202,을지로입구,하차,04시-05시,"Weibull(shape=3.447, scale=27.343)",0.056607,0.531081,198,성공
203,을지로3가,하차,05시-06시,"Gamma(alpha=143.585, beta=0.545)",0.053234,0.664001,181,성공
203,을지로3가,하차,06시-07시,"Triangular(min=0.000, mode=804.000, max=951.989)",0.30472,0.0,208,실패
203,을지로3가,하차,07시-08시,"Triangular(min=0.000, mode=3484.000, max=3652.303)",0.438186,0.0,208,실패
203,을지로3가,하차,08시-09시,"Triangular(min=0.000, mode=8866.000, max=8866.000)",0.497401,0.0,208,실패
203,을지로3가,하차,09시-10시,"Weibull(shape=4.050, scale=522.388)",0.04379,0.867258,179,성공
203,을지로3가,하차,10시-11시,"Weibull(shape=1.779, scale=282.537)",0.067443,0.494524,147,성공
203,을지로3가,하차,11시-12시,"Gamma(alpha=36.838, beta=12.660)",0.052955,0.777254,149,성공
