역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,승차,27,6,43,97,202,321,443,538,619,746,826,964,1021,903,846,729,568,406,144,2,381,280,236,142
202,을지로입구,승차,72,8,114,177,419,670,926,1122,1387,1620,1958,2183,2428,2586,2319,2550,1705,1443,553,2,150,124,105,52
203,을지로3가,승차,38,2,74,114,247,461,589,702,762,847,875,1000,920,990,804,802,736,687,498,1,88,71,56,25
204,을지로4가,승차,27,2,43,82,211,324,390,451,456,498,510,524,496,450,386,338,278,190,95,0,119,101,79,39
205,동대문역사문화공원(DDP),승차,63,14,122,175,311,397,506,562,666,796,864,939,1022,982,823,685,690,559,294,2,168,132,126,100
206,신당,승차,106,4,188,300,449,528,585,668,692,712,761,774,724,614,522,468,408,350,204,0,146,144,151,107
207,상왕십리,승차,97,4,192,361,520,605,620,702,655,627,633,587,524,452,338,274,256,180,77,0,24,17,15,10
208,왕십리(성동구청),승차,130,44,181,310,444,522,588,678,715,720,728,724,734,688,611,609,608,558,368,1,24,17,10,6
209,한양대,승차,28,2,40,85,99,123,155,197,226,234,264,267,287,255,188,168,166,162,112,0,7,5,4,2
210,뚝섬,승차,66,2,122,197,284,366,437,551,640,774,984,1124,1340,1400,1344,1225,1032,694,253,0,12,9,10,4
211,성수,승차,120,5,185,290,415,486,587,764,914,1172,1486,1785,2026,2181,2102,2100,1831,1339,552,2,59,55,46,30
212,건대입구,승차,494,23,508,765,1100,1156,1194,1347,1481,1588,1769,1924,1982,2052,2037,2185,2152,2214,1664,3,132,129,101,62
213,구의(광진구청),승차,207,5,400,694,1009,1038,1004,1034,1007,954,941,893,826,703,561,503,442,393,200,2,87,81,67,41
214,강변(동서울터미널),승차,143,7,335,848,1304,1580,1742,1697,1691,1570,1626,1708,1798,1683,1540,1343,1012,649,252,1,51,48,44,21
215,잠실나루,승차,60,4,136,279,416,486,500,546,542,520,510,482,461,340,260,225,177,135,67,1,25,22,20,11
216,잠실(송파구청),승차,266,8,492,1083,1596,1984,2406,2799,3118,3461,4092,4728,4980,5423,5094,5216,4880,3311,1016,1,233,181,129,44
217,잠실새내,승차,132,4,210,474,700,830,956,1021,1047,948,949,921,926,902,833,800,776,766,499,0,21,20,15,5
218,종합운동장,승차,32,9,64,157,226,336,355,382,374,420,428,460,460,427,348,216,222,132,62,3,13,9,7,2
219,삼성(무역센터),승차,100,12,173,211,302,523,716,992,1524,1928,2358,2965,3108,3205,2706,2852,2242,1394,310,0,78,54,41,26
220,선릉,승차,133,11,198,326,475,576,740,1000,1095,1142,1211,1324,1462,1540,1158,942,994,921,373,1,44,43,39,22
221,역삼,승차,92,4,157,282,368,495,597,859,941,1026,1142,1190,1127,1059,855,833,791,640,217,0,126,136,120,53
222,강남,승차,300,16,392,572,823,975,1308,1826,2229,2448,2722,3088,3223,2985,2765,2928,3188,3010,1702,5,192,181,138,74
