역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,하차,67,476,635,822,3262,1155,1064,1025,1095,974,986,966,1038,1056,577,357,335,294,243,172,403,336,281,225
202,을지로입구,하차,99,519,785,1715,6002,2760,2741,2464,2503,2315,2250,2404,2586,2738,1900,1280,1097,912,716,504,157,132,123,85
203,을지로3가,하차,62,431,455,819,2917,1275,998,952,1015,962,1023,1154,1439,1544,1275,738,610,524,397,241,52,49,48,24
204,을지로4가,하차,46,349,404,635,1636,955,931,889,855,801,762,735,760,764,542,366,337,325,267,189,198,170,137,99
205,동대문역사문화공원(DDP),하차,53,253,475,826,1099,1128,1162,1197,1229,1271,1194,1149,1198,1252,1045,911,806,704,571,358,153,128,111,63
206,신당,하차,40,254,493,702,727,649,766,816,848,882,964,1142,1419,1321,1450,860,751,723,516,366,216,232,202,109
207,상왕십리,하차,28,198,253,485,575,470,485,544,572,631,720,862,1115,1074,1334,814,774,779,590,387,70,50,45,28
208,왕십리(성동구청),하차,41,243,288,538,638,577,674,685,762,813,858,999,1394,1448,1400,870,741,737,582,424,32,21,14,10
209,한양대,하차,19,165,317,1069,1058,970,693,786,683,534,488,432,410,404,319,230,208,208,180,128,13,10,8,5
210,뚝섬,하차,93,471,441,1042,1912,1611,1469,1620,1654,1551,1569,1496,1601,1630,1238,628,518,463,342,224,21,19,15,13
211,성수,하차,149,731,627,1365,3336,2792,2458,2812,3005,2993,2964,2935,2955,3135,2078,1096,768,626,560,376,98,96,85,57
212,건대입구,하차,66,479,509,953,1618,1535,1947,2199,2565,2552,2787,3121,4244,4856,4301,2722,2489,2220,1611,1084,158,146,115,76
213,구의(광진구청),하차,60,715,381,872,730,706,767,841,962,1036,1281,1525,1859,1731,2339,1573,1509,1490,1066,656,154,163,133,93
214,강변(동서울터미널),하차,85,766,828,1535,1390,1657,1630,1711,1820,1998,2307,2471,2803,2725,3116,2000,1707,1710,1106,611,77,90,67,86
215,잠실나루,하차,91,410,377,663,990,734,622,741,707,748,748,777,854,912,1092,673,611,659,429,246,57,54,45,35
216,잠실(송파구청),하차,174,1243,1967,2889,5059,4544,5310,5176,5546,5580,5895,6018,7084,6959,6432,3784,3409,3380,2289,1094,179,244,177,166
217,잠실새내,하차,34,309,507,1090,1160,916,1076,1218,1342,1410,1629,1820,2323,2258,2550,1436,1226,1192,791,466,22,28,20,13
218,종합운동장,하차,35,340,572,718,540,637,582,730,982,1204,1238,1225,1527,2159,1263,474,424,403,292,164,22,25,21,12
219,삼성(무역센터),하차,215,915,1210,2310,6562,4328,3641,3539,3611,3357,3031,2833,2679,2617,1645,883,632,532,354,321,83,80,78,66
220,선릉,하차,262,1025,998,1901,5611,4068,2497,2228,2419,2158,1970,1912,2082,2108,1595,884,740,723,516,378,50,58,67,52
221,역삼,하차,243,657,817,1852,6814,4938,2519,2178,2370,1899,1792,1757,2032,1955,1681,872,715,637,506,293,188,192,188,120
222,강남,하차,456,1053,1234,3415,6795,5678,4303,4585,4460,4412,4156,4462,5549,5067,5228,2522,2095,1897,1264,704,147,134,124,99
