날짜,요일,역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
2023-01-01,일,222,강남,승차,1015,909,592,506,585,697,798,1094,1231,1444,1591,1792,2003,1965,1787,1968,2411,2049,1082,6,178,146,114,61
2023-01-01,일,214,강변(동서울터미널),승차,125,219,264,523,829,1009,1167,1221,1278,1243,1423,1697,1874,1608,1530,2087,1446,1219,364,1,48,44,31,17
2023-01-01,일,212,건대입구,승차,1394,985,677,683,876,745,888,1023,1194,1197,1360,1569,1703,1576,1576,1751,1919,1768,1074,1,137,133,96,66
2023-01-01,일,223,교대(법원.검찰청),승차,79,215,161,197,295,316,428,475,559,649,610,575,600,537,545,571,543,409,167,0,33,29,21,12
2023-01-01,일,232,구로디지털단지,승차,489,588,587,1053,1193,1346,1308,1455,1452,1382,1444,1573,1572,1286,1097,941,738,494,255,4,21,20,21,15
2023-01-01,일,213,구의(광진구청),승차,201,270,290,493,719,721,606,749,749,674,682,643,592,559,413,382,362,310,111,0,64,48,44,28
2023-01-01,일,227,낙성대(강감찬),승차,189,290,346,535,797,903,897,1083,1092,993,984,884,924,606,504,370,374,272,131,0,16,11,20,15
2023-01-01,일,237,당산,승차,96,123,171,481,381,403,472,521,529,487,504,506,522,407,390,300,256,233,92,1,22,15,11,5
2023-01-01,일,233,대림(구로구청),승차,270,323,434,785,944,896,787,946,1131,1151,990,1179,1069,922,700,524,358,315,111,1,3,3,4,2
2023-01-01,일,247,도림천,승차,9,9,11,12,32,33,29,20,39,21,34,26,24,11,13,11,10,7,3,2,20,13,12,4
2023-01-01,일,205,동대문역사문화공원(DDP),승차,63,89,135,164,262,363,497,527,601,690,782,733,761,718,628,532,570,348,171,2,84,66,63,49
2023-01-01,일,210,뚝섬,승차,75,124,128,142,247,218,252,441,492,510,740,741,724,722,599,550,481,312,70,0,5,6,3,4
2023-01-01,일,235,문래,승차,98,154,135,202,277,294,326,450,390,408,381,486,475,437,373,336,431,276,118,2,73,66,51,22
2023-01-01,일,225,방배,승차,59,141,124,140,274,218,340,476,474,449,471,493,414,356,233,212,214,150,71,0,18,14,13,3
2023-01-01,일,229,봉천,승차,211,289,307,548,795,796,738,852,884,798,845,757,622,547,444,344,299,226,81,0,14,10,14,12
2023-01-01,일,226,사당,승차,198,299,336,433,731,835,851,1084,1144,1195,1314,1511,1281,1367,1364,1208,1018,826,409,0,53,31,29,21
2023-01-01,일,219,삼성(무역센터),승차,119,173,149,232,246,508,541,715,1377,1267,1525,2145,2150,2138,1650,1392,1495,1027,152,0,64,41,28,22
2023-01-01,일,207,상왕십리,승차,91,162,138,246,355,360,413,528,596,495,413,417,403,316,215,218,193,113,46,0,15,10,8,5
2023-01-01,일,228,서울대입구(관악구청),승차,395,462,477,742,1123,1209,1295,1511,1629,1594,1569,1555,1562,1285,1010,909,933,759,343,0,53,42,31,29
2023-01-01,일,224,서초,승차,38,116,87,134,665,285,1420,500,1743,816,984,1099,859,608,850,406,500,331,96,0,46,28,25,21
