날짜,요일,역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
2023-01-01,일,222,강남,하차,121,491,433,642,1097,1175,1136,1529,1961,1708,1880,2202,2334,2049,1547,1335,1096,738,512,4,69,55,59,44
2023-01-01,일,214,강변(동서울터미널),하차,107,516,433,495,603,700,789,1025,1223,1258,1535,1736,1615,1533,1289,1094,773,574,383,1,42,46,31,39
2023-01-01,일,212,건대입구,하차,74,367,239,386,605,793,1059,1310,1650,1664,1950,2291,2471,2395,1894,1554,1505,1134,731,58,86,74,62,42
2023-01-01,일,223,교대(법원.검찰청),하차,90,247,206,380,712,524,613,519,618,515,489,592,635,606,417,412,419,362,213,2,29,23,23,16
2023-01-01,일,232,구로디지털단지,하차,159,411,371,521,640,844,951,1069,1313,1503,1560,1614,1619,1712,1497,1563,1659,1525,865,7,22,40,26,43
2023-01-01,일,213,구의(광진구청),하차,38,295,157,229,288,360,357,464,606,554,704,849,879,882,734,781,738,736,441,1,84,89,59,44
2023-01-01,일,227,낙성대(강감찬),하차,103,296,243,273,503,668,592,644,732,827,867,1092,1139,1131,1135,1133,1140,1057,590,2,33,26,17,14
2023-01-01,일,237,당산,하차,87,330,312,206,292,324,307,390,458,442,580,665,607,594,498,471,428,385,265,7,45,25,30,17
2023-01-01,일,233,대림(구로구청),하차,89,195,234,345,561,1253,1516,1176,947,892,1053,986,913,824,794,707,941,795,408,28,8,11,12,7
2023-01-01,일,247,도림천,하차,8,14,4,16,24,20,14,21,17,23,28,31,39,31,47,22,23,19,21,0,41,27,23,19
2023-01-01,일,205,동대문역사문화공원(DDP),하차,49,158,172,241,306,428,680,715,732,824,715,779,761,710,567,534,486,457,271,7,78,65,46,31
2023-01-01,일,210,뚝섬,하차,28,140,134,141,346,472,546,608,725,702,744,701,719,443,378,290,236,209,136,8,9,10,6,5
2023-01-01,일,235,문래,하차,59,144,136,227,332,411,341,398,509,563,507,619,606,445,359,287,273,230,153,9,54,54,43,35
2023-01-01,일,225,방배,하차,65,155,137,224,478,504,360,295,367,350,309,381,367,362,318,270,296,248,163,0,20,16,12,15
2023-01-01,일,229,봉천,하차,80,211,145,236,398,480,451,512,639,725,760,929,928,803,841,860,854,725,477,8,49,38,28,15
2023-01-01,일,226,사당,하차,88,624,366,406,799,883,943,1107,1283,1175,1220,1502,1638,1545,1232,1122,1147,925,544,60,38,33,25,25
2023-01-01,일,219,삼성(무역센터),하차,60,420,448,897,911,1175,1441,1549,1635,1763,1446,1446,1208,934,561,506,376,260,120,154,38,33,32,30
2023-01-01,일,207,상왕십리,하차,36,136,119,189,251,355,232,274,354,364,414,488,545,529,441,430,429,332,243,0,35,23,18,10
2023-01-01,일,228,서울대입구(관악구청),하차,183,509,334,429,771,987,982,1007,1393,1507,1563,1850,1998,1919,1703,1605,1741,1496,824,341,85,58,42,33
2023-01-01,일,224,서초,하차,53,279,683,435,1820,559,1831,574,683,1035,458,692,369,274,222,213,185,185,91,3,34,25,25,26
2023-01-01,일,220,선릉,하차,58,301,286,484,486,428,460,558,578,618,530,602,598,532,522,453,421,329,208,36,28,29,36,31
2023-01-01,일,211,성수,하차,28,290,193,332,547,803,868,1151,1369,1338,1377,1360,1313,822,605,376,316,268,278,85,35,36,31,22
2023-01-01,일,201,시청,하차,36,126,144,245,283,348,332,418,403,432,450,371,354,308,227,232,237,208,99,13,203,146,135,128
2023-01-01,일,245,신답,하차,5,9,13,10,23,36,22,29,27,38,47,62,69,69,54,57,59,36,29,3,20,24,18,21
2023-01-01,일,206,신당,하차,49,123,136,215,271,437,426,554,592,575,523,599,654,596,449,414,365,366,189,4,126,118,102,52
2023-01-01,일,231,신대방,하차,91,310,232,295,426,653,565,594,701,779,924,965,1142,1041,1040,993,1238,997,638,3,42,47,45,37
2023-01-01,일,234,신도림,하차,196,419,426,686,820,1185,982,1227,1527,1408,1573,1655,1734,1645,1257,1129,1172,1102,870,195,22,22,19,23
2023-01-01,일,230,신림,하차,229,631,489,614,1000,1062,1275,1384,1819,1910,2108,2373,2617,2701,2403,2401,2443,1868,1598,2,160,123,103,69
