역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,승차,32,49,107,180,289,438,604,701,844,1005,1210,1451,2124,2790,1664,1623,1061,753,430,174,506,380,323,193
202,을지로입구,승차,82,91,212,368,578,820,1143,1363,1687,1972,2365,2797,3823,5221,3519,3979,2424,2236,1088,493,236,186,159,79
203,을지로3가,승차,46,61,133,268,373,565,676,787,875,971,1079,1278,1840,2296,1477,1460,1226,1151,866,363,170,135,100,43
204,을지로4가,승차,33,46,102,202,288,403,506,574,652,722,793,888,1172,1233,830,683,463,329,207,85,172,143,112,55
205,동대문역사문화공원(DDP),승차,117,88,180,282,394,470,591,681,764,918,1055,1189,1319,1342,1057,922,834,701,480,221,199,154,145,114
206,신당,승차,170,206,457,776,685,703,670,737,783,809,838,903,921,907,737,641,557,510,334,145,169,165,169,121
207,상왕십리,승차,156,242,601,1029,875,847,756,765,739,717,711,708,745,710,548,427,350,259,151,65,31,22,20,13
208,왕십리(성동구청),승차,207,188,419,742,673,691,687,765,801,811,848,941,982,1003,797,776,787,805,582,250,33,23,13,8
209,한양대,승차,38,51,96,167,161,216,323,386,416,471,600,656,788,761,490,386,287,264,215,74,9,8,6,2
210,뚝섬,승차,93,150,301,453,457,489,570,682,823,1013,1277,1566,1977,2553,1841,1722,1363,1013,590,244,16,12,13,6
211,성수,승차,164,187,397,573,599,652,760,975,1204,1499,1924,2418,3203,4389,3067,3081,2413,1901,1084,457,75,71,58,36
212,건대입구,승차,550,459,968,1617,1516,1438,1414,1517,1660,1788,1962,2204,2395,2542,2294,2453,2581,2755,2020,810,164,159,124,76
213,구의(광진구청),승차,356,470,1067,1848,1634,1451,1272,1181,1144,1085,1087,1208,1148,1185,819,713,572,515,327,142,111,105,83,53
214,강변(동서울터미널),승차,222,430,1144,1914,1999,2159,2108,2051,1983,1845,1882,1925,2028,1999,1747,1575,1263,909,507,215,72,65,58,29
215,잠실나루,승차,86,190,536,758,736,736,722,713,677,678,702,801,849,723,502,391,267,206,122,53,34,28,26,16
216,잠실(송파구청),승차,370,841,1807,2770,2719,2698,2862,3139,3540,4044,4721,5582,6248,6789,5832,6121,5584,4388,2251,995,290,230,160,56
217,잠실새내,승차,161,287,827,1278,1215,1172,1170,1164,1212,1144,1194,1224,1283,1268,1065,991,936,979,677,294,28,28,20,7
218,종합운동장,승차,44,115,250,386,397,435,444,512,528,570,550,800,1174,833,1147,1070,1504,1524,766,527,17,13,10,4
219,삼성(무역센터),승차,145,142,281,377,480,649,966,1381,1957,2455,3163,3983,5119,5978,4227,4173,3093,2232,1072,473,104,73,57,36
220,선릉,승차,160,237,390,646,760,938,1200,1532,1744,1993,2374,2799,3755,4708,3096,2692,2080,1812,967,538,64,60,58,31
221,역삼,승차,117,199,297,512,557,690,883,1165,1348,1587,1950,2323,3592,4072,2927,2386,1804,1270,736,315,178,187,167,73
222,강남,승차,380,424,729,1126,1208,1508,1974,2527,3033,3488,4140,4853,5857,6334,5109,4748,4723,4708,3227,1440,297,278,209,106
223,교대(법원.검찰청),승차,83,218,405,649,680,762,881,987,1168,1336,1421,1517,1982,2295,1585,1580,1307,1116,653,305,59,47,38,23
224,서초,승차,54,176,337,540,715,647,1051,862,1270,1073,1293,1333,1581,1724,1245,1044,858,587,324,149,57,40,32,22
225,방배,승차,76,176,344,529,576,575,635,707,763,818,847,947,1059,1194,780,707,565,469,282,131,42,31,24,10
226,사당,승차,339,497,1196,1691,1791,1660,1675,1741,1851,2062,2146,2267,2386,2560,2250,2331,2317,2249,1582,653,112,67,58,32
227,낙성대(강감찬),승차,298,460,1256,2075,1913,1739,1585,1571,1566,1472,1444,1441,1458,1422,1023,880,716,572,380,153,25,19,22,21
228,서울대입구(관악구청),승차,804,790,1968,2877,2839,2544,2389,2412,2475,2376,2394,2438,2499,2484,1873,1695,1512,1394,927,393,105,72,53,52
229,봉천,승차,407,508,1278,1976,1806,1632,1370,1318,1245,1158,1083,1074,1014,959,734,626,504,391,233,101,39,28,31,25
230,신림,승차,1043,1276,2973,4603,4123,3670,3161,3001,2836,2742,2650,2674,2633,2569,2045,1812,1584,1414,979,387,166,141,132,87
231,신대방,승차,643,622,1509,2341,2121,1886,1583,1439,1338,1218,1178,1185,1145,1044,794,657,496,392,241,102,48,55,59,50
232,구로디지털단지,승차,1024,951,2298,3232,2943,2662,2390,2398,2319,2239,2286,2493,3095,3743,2502,2193,1572,1226,782,328,44,40,39,27
233,대림(구로구청),승차,880,563,1256,1788,1675,1506,1333,1274,1227,1204,1221,1257,1296,1295,940,797,590,447,268,110,7,6,8,5
234,신도림,승차,997,878,2112,2533,2369,2220,2157,2369,2523,2664,2824,2989,3188,3215,2513,2308,2114,1673,1098,419,41,24,23,14
235,문래,승차,111,224,609,795,707,696,665,762,803,842,904,1002,1291,1737,1038,1043,866,740,506,213,140,124,98,39
236,영등포구청,승차,157,219,574,790,743,738,746,832,879,937,957,1078,1279,1742,1001,980,700,576,370,156,0,0,0,0
237,당산,승차,180,283,679,933,879,849,827,846,844,819,841,892,1074,1180,807,749,607,545,356,158,62,41,26,12
238,합정,승차,386,367,749,975,959,956,1050,1243,1411,1593,1788,2055,2365,2776,2368,2405,2442,2388,1674,733,246,208,169,73
239,홍대입구,승차,1363,821,1386,1630,1638,1831,2032,2372,2800,3265,3998,4896,5640,6070,5750,5995,6567,6646,4550,1944,443,297,255,122
240,신촌,승차,302,306,647,971,999,1190,1390,1786,1954,2151,2327,2583,2799,2790,2387,2508,2384,2485,1652,727,303,217,160,70
241,이대,승차,110,163,431,639,630,680,721,892,895,909,999,1024,1171,1015,810,661,555,472,271,116,88,70,58,27
242,아현,승차,136,182,465,692,633,650,601,631,611,584,581,620,595,569,414,334,247,188,108,48,75,53,45,26
243,충정로(경기대입구),승차,91,121,259,388,376,375,380,416,442,461,470,535,647,806,440,403,256,195,122,55,31,18,13,6
244,용답,승차,66,61,145,238,197,204,175,180,178,167,164,164,166,140,104,77,60,46,29,14,131,123,120,78
245,신답,승차,32,32,95,166,118,116,90,85,78,74,72,73,70,66,42,33,23,20,10,6,27,29,28,17
246,신설동,승차,40,32,82,143,135,166,196,245,281,327,356,369,380,405,200,166,114,79,55,20,207,232,197,76
247,도림천,승차,12,20,52,65,63,68,61,70,58,72,65,72,73,72,45,36,24,16,11,5,43,27,24,9
248,양천구청,승차,129,187,494,542,521,460,410,393,359,308,295,301,294,274,170,135,94,72,40,21,26,26,24,9
249,신정네거리,승차,229,291,747,816,750,676,589,588,541,490,457,457,423,376,280,221,176,136,80,36,338,317,218,46
250,용두(동대문구청),승차,33,33,84,148,122,142,129,139,141,147,150,157,149,149,93,79,53,34,20,8,309,302,292,141
