역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,하차,45,298,882,2731,1561,1480,1060,872,929,886,860,810,822,704,496,375,305,254,206,109,331,278,236,184
202,을지로입구,하차,85,456,1651,4420,3223,3048,2663,2230,2245,2090,2080,2140,2232,2112,1598,1233,995,789,565,370,126,110,100,71
203,을지로3가,하차,48,342,928,2333,1379,1384,1014,856,945,895,912,991,1124,1219,956,742,579,453,333,150,43,41,40,20
204,을지로4가,하차,34,226,489,1119,794,842,756,707,709,671,632,611,609,576,445,357,310,280,220,104,166,143,117,82
205,동대문역사문화공원(DDP),하차,43,174,375,821,763,984,1016,1064,1101,1127,1072,1050,1068,1061,933,823,748,641,467,216,132,112,96,55
206,신당,하차,35,167,291,574,539,608,666,723,769,803,848,958,1109,1298,1021,853,695,606,447,211,193,202,179,95
207,상왕십리,하차,25,128,218,526,433,478,429,462,489,543,611,725,874,1069,884,778,693,624,491,229,59,42,37,23
208,왕십리(성동구청),하차,34,153,227,505,454,515,561,616,672,694,754,864,1072,1351,1039,885,721,631,513,246,27,18,12,9
209,한양대,하차,16,106,181,816,754,765,522,623,528,477,425,364,360,341,261,226,193,186,160,69,11,9,6,4
210,뚝섬,하차,58,303,558,1842,1523,1481,1387,1362,1436,1370,1396,1335,1353,1315,924,670,506,385,289,142,17,16,13,11
211,성수,하차,86,546,1000,3402,2480,2559,2329,2359,2581,2614,2607,2528,2493,2310,1611,1080,753,526,472,286,79,78,70,48
212,건대입구,하차,52,318,431,1026,1139,1298,1632,1875,2149,2231,2446,2795,3396,4109,3352,2741,2319,1899,1400,691,138,128,99,66
213,구의(광진구청),하차,41,403,284,735,544,630,635,706,814,889,1070,1240,1522,1912,1616,1442,1345,1173,894,417,132,140,111,79
214,강변(동서울터미널),하차,77,558,589,1117,1136,1320,1308,1465,1624,1793,2049,2227,2505,2791,2324,1985,1582,1359,914,422,62,75,54,70
215,잠실나루,하차,63,248,353,635,517,519,468,511,563,559,609,649,730,834,690,590,518,478,344,173,48,44,37,28
216,잠실(송파구청),하차,142,781,1377,3109,3830,3944,4515,4538,4889,4877,5165,5404,5755,5963,4604,3737,3126,2686,1908,839,146,199,145,136
217,잠실새내,하차,28,193,299,598,767,742,902,1014,1132,1223,1390,1547,1837,2099,1685,1371,1127,955,668,325,18,23,16,10
218,종합운동장,하차,31,248,356,556,493,563,530,843,1218,964,1295,1518,1542,1964,1248,675,399,325,237,121,18,20,17,9
219,삼성(무역센터),하차,114,734,1917,4623,4322,3953,3619,3118,3222,2932,2632,2485,2274,1933,1287,884,614,435,289,259,65,61,59,50
220,선릉,하차,137,717,1584,3781,3528,2898,2274,1880,1854,1631,1524,1450,1505,1458,1113,861,713,599,426,241,39,45,52,41
221,역삼,하차,149,628,1892,4603,4382,3395,2531,1892,1757,1520,1399,1337,1446,1455,1097,864,694,558,405,191,156,162,159,99
222,강남,하차,267,897,2024,4444,5606,4340,4141,3665,3844,3593,3569,3718,4223,4760,3580,2725,2042,1583,1119,502,121,110,102,81
223,교대(법원.검찰청),하차,163,483,903,2301,2429,1906,1843,1515,1550,1409,1366,1426,1668,1712,1260,1003,811,694,492,232,55,47,44,37
224,서초,하차,143,455,897,1697,1850,1262,1481,861,968,878,711,818,751,721,542,418,370,334,238,110,45,33,34,41
225,방배,하차,69,222,401,1095,1008,907,795,737,719,712,702,732,814,848,694,577,505,473,344,164,33,30,23,19
226,사당,하차,125,936,922,1450,1447,1506,1813,1896,1928,1939,2167,2712,3433,4051,3277,2656,2291,2032,1569,759,67,59,45,40
227,낙성대(강감찬),하차,70,218,349,719,808,881,870,933,1001,1069,1202,1374,1643,2071,1919,1697,1640,1540,1214,565,61,46,33,22
228,서울대입구(관악구청),하차,89,317,515,1214,1397,1487,1534,1668,1849,1907,2146,2427,2942,3698,3327,2802,2659,2371,1856,1183,133,90,67,45
229,봉천,하차,57,160,245,488,510,584,675,733,807,897,1067,1224,1460,1784,1621,1385,1329,1172,906,458,101,72,60,27
230,신림,하차,140,418,546,958,1146,1314,1513,1724,1975,2137,2543,3004,3672,4744,4502,3884,3812,3355,2754,1234,257,206,173,107
231,신대방,하차,69,212,310,559,544,637,647,746,858,948,1159,1355,1657,1978,1881,1676,1815,1597,1279,561,66,69,66,55
232,구로디지털단지,하차,151,389,1130,3035,2396,2119,1698,1568,1804,1845,2079,2421,2919,3569,3243,2819,2769,2475,1953,885,38,56,47,64
233,대림(구로구청),하차,105,223,407,942,859,1117,1200,1147,1176,1128,1260,1473,1665,1684,1474,1278,1427,1265,935,441,9,14,11,9
234,신도림,하차,165,469,776,1846,1583,2276,2224,2480,2583,2453,2674,2889,3329,3925,3156,2595,2274,1994,1862,1079,32,33,26,32
235,문래,하차,60,204,513,1687,1088,1114,887,853,903,886,924,1030,1172,1368,1078,827,660,517,405,192,101,88,78,50
236,영등포구청,하차,106,271,538,1663,1005,1107,868,850,903,875,888,964,1052,1202,957,778,665,552,461,235,0,0,0,0
237,당산,하차,88,251,436,1124,767,779,650,666,715,749,843,985,1206,1511,1233,1081,978,862,727,317,75,49,47,30
238,합정,하차,89,276,547,1470,1665,1787,1994,2126,2375,2277,2382,2559,2938,3291,2645,1943,1530,1156,941,462,154,125,105,66
239,홍대입구,하차,114,377,681,1719,2591,3077,4352,5300,6061,6256,6345,6491,6884,7241,6013,4613,3740,2865,2271,1187,217,193,157,101
240,신촌,하차,89,280,599,1429,1957,1937,2144,2238,2461,2363,2387,2443,2764,3062,2454,1932,1600,1309,1026,450,201,181,144,91
241,이대,하차,30,125,232,670,803,880,768,856,883,845,875,887,953,1056,881,776,727,697,595,267,131,124,97,60
242,아현,하차,27,111,200,394,334,384,334,373,400,440,493,559,641,735,625,555,515,466,356,167,100,75,58,30
243,충정로(경기대입구),하차,30,138,300,845,510,562,410,388,415,398,431,438,479,518,418,355,325,284,237,112,42,33,29,15
244,용답,하차,12,27,41,81,80,85,88,95,115,122,146,177,196,255,189,189,185,171,145,63,164,191,147,125
245,신답,하차,7,13,18,35,31,38,39,46,52,63,77,100,117,173,136,117,110,86,73,31,38,45,36,34
246,신설동,하차,11,42,91,222,235,331,306,320,312,275,250,207,195,192,159,138,119,107,87,46,183,284,241,191
247,도림천,하차,11,20,58,92,55,62,46,54,52,59,56,59,63,67,60,52,48,38,34,15,52,37,33,27
248,양천구청,하차,33,50,98,194,155,171,169,206,241,269,331,390,490,583,538,440,409,340,291,130,19,28,22,39
249,신정네거리,하차,31,67,104,246,220,256,280,318,367,408,506,614,739,967,824,683,601,521,407,186,346,391,269,213
250,용두(동대문구청),하차,5,19,44,96,88,107,108,114,129,126,137,132,146,173,133,114,102,76,62,29,298,430,353,291
