역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,승차,39,88,229,353,482,674,894,874,1098,1289,1554,1979,4404,7713,2810,2425,2241,1548,724,192,396,303,245,138
202,을지로입구,승차,103,160,457,790,1019,1197,1458,1573,1998,2231,2718,3230,6761,12430,5570,5392,4068,3290,1463,515,180,144,117,55
203,을지로3가,승차,45,99,259,496,674,755,824,831,956,1125,1289,1599,3825,6469,2812,2043,2096,1619,1087,378,105,85,64,28
204,을지로4가,승차,40,77,231,452,453,531,634,666,756,865,976,1264,2540,3082,1350,826,729,481,287,102,163,140,109,56
205,동대문역사문화공원(DDP),승차,236,185,338,573,595,587,643,732,795,920,1107,1452,1654,1903,1274,1042,1000,780,488,215,269,210,200,161
206,신당,승차,243,477,1345,2273,1239,774,692,725,716,711,761,916,1101,1268,930,756,699,608,373,136,222,226,229,170
207,상왕십리,승차,233,589,1922,3081,1616,912,721,736,648,634,647,733,955,1081,790,542,462,332,172,66,32,23,23,14
208,왕십리(성동구청),승차,298,403,1161,2047,1198,817,797,706,735,740,868,1166,1302,1438,966,979,993,976,744,345,28,19,12,7
209,한양대,승차,43,97,247,388,263,367,538,754,853,1133,1385,2020,2513,1911,1072,1045,1027,600,349,149,11,9,7,3
210,뚝섬,승차,127,335,834,1158,735,625,624,691,837,994,1241,1656,2946,5823,2773,1938,1873,1272,630,208,14,10,12,6
211,성수,승차,213,377,1030,1394,1019,908,940,1078,1387,1642,1975,2566,5265,10892,5018,3960,3572,2518,1249,372,73,74,66,41
212,건대입구,승차,575,838,2376,4135,2537,1490,1366,1446,1557,1581,1749,2074,2591,3237,2312,2512,2484,2500,1980,905,142,136,113,69
213,구의(광진구청),승차,552,1113,3148,5334,3082,1464,1137,1171,1016,964,980,1384,1442,1790,995,764,696,622,385,132,122,120,94,62
214,강변(동서울터미널),승차,355,1216,3611,5277,3516,2648,2171,1925,1646,1496,1464,1533,1759,2049,1586,1634,1136,812,599,154,95,83,76,38
215,잠실나루,승차,143,558,1849,2226,1456,1111,1048,903,840,884,1022,1380,1599,1368,723,528,405,299,147,56,45,37,34,22
216,잠실(송파구청),승차,516,2062,5532,7542,5331,3368,3070,2996,3197,3438,4117,4804,6652,8958,6252,6977,5410,4586,2112,776,359,289,199,62
217,잠실새내,승차,215,762,2776,3848,2320,1385,1214,1159,1074,1044,1159,1254,1412,1617,1254,1133,1056,983,704,287,28,28,21,7
218,종합운동장,승차,65,258,791,1074,760,520,540,419,378,453,492,690,656,740,538,658,1072,527,218,87,19,13,10,4
219,삼성(무역센터),승차,186,265,611,848,870,944,1378,1680,2125,2696,3528,4625,9232,13841,7072,5334,4799,3364,1236,369,131,97,78,51
220,선릉,승차,190,432,929,1492,1358,1475,1804,2060,2473,2932,3829,5032,8700,13698,7150,4503,4644,3759,1628,436,93,88,84,46
221,역삼,승차,137,336,669,1142,974,1018,1285,1484,1855,2274,3118,4085,9933,13317,8025,4670,4408,3093,1464,372,216,228,203,89
222,강남,승차,281,655,1722,2860,2175,2079,2408,2901,3411,3820,4738,5846,9739,13688,9436,7129,8269,6712,3958,1384,252,236,180,92
223,교대(법원.검찰청),승차,99,454,1164,1693,1231,1180,1254,1288,1632,2025,2226,2374,4242,6168,3248,2506,2575,2027,944,308,65,51,43,26
