역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,하차,84,792,3280,10547,4190,1746,1297,1072,1067,929,891,785,852,957,584,391,375,282,208,128,278,249,214,169
202,을지로입구,하차,117,1177,6092,16070,7103,3604,2687,2429,2208,1950,1952,1887,2264,2492,1848,1204,1002,790,543,310,116,100,95,67
203,을지로3가,하차,73,789,3369,8571,3399,1695,1112,983,981,855,863,880,1105,1432,958,635,532,426,321,177,44,42,43,21
204,을지로4가,하차,53,559,1642,3711,1804,1117,1061,872,832,756,687,630,639,666,501,372,332,288,210,125,159,137,115,82
205,동대문역사문화공원(DDP),하차,58,385,1083,2324,1324,1324,1124,1031,994,974,931,926,1047,1264,1195,992,801,674,460,268,129,110,96,56
206,신당,하차,46,333,694,1379,890,720,742,687,739,760,842,1022,1381,2230,1433,926,850,778,500,282,191,210,186,98
207,상왕십리,하차,28,237,567,1443,728,538,522,519,575,606,749,931,1347,2337,1522,1019,978,872,567,326,47,34,30,19
208,왕십리(성동구청),하차,45,297,633,1277,782,609,623,596,639,637,706,856,1285,2249,1329,868,796,720,512,343,20,14,9,6
209,한양대,하차,21,284,591,3166,2855,2785,1082,1762,1257,976,581,483,651,942,425,308,238,216,161,102,8,6,5,3
210,뚝섬,하차,104,687,1846,6582,4304,1893,1978,1388,1144,1071,1088,1113,1341,1879,1174,624,526,489,338,190,17,16,13,11
211,성수,하차,171,1336,3416,12669,7222,3360,2752,2505,2061,1952,1978,1942,2175,2754,1850,969,715,629,462,348,89,88,80,55
212,건대입구,하차,75,616,1086,2948,2154,1820,1774,1670,1781,1776,1983,2400,3560,5971,3920,2603,2323,1981,1348,863,141,129,101,68
213,구의(광진구청),하차,67,785,709,1781,964,853,798,794,908,974,1280,1496,2228,4064,2850,1875,1840,1656,1073,529,134,143,118,84
214,강변(동서울터미널),하차,80,727,864,1633,1223,1357,1151,1236,1281,1449,1770,2024,2738,4250,2896,2101,1857,1725,1017,508,72,86,63,82
215,잠실나루,하차,117,610,1061,1826,1158,929,801,877,877,814,803,830,1152,1744,1286,850,838,747,432,206,53,49,42,31
216,잠실(송파구청),하차,196,1344,3485,7918,6648,5359,5006,3947,3750,3661,4035,4564,6529,9604,6288,4112,3821,3511,2085,884,165,221,166,148
