날짜,요일,역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
2023-01-02,월,222,강남,승차,238,639,1604,2596,1827,1724,2151,2667,3283,3676,4713,5235,9093,13965,9103,5922,6401,5241,2076,389,178,145,118,61
2023-01-02,월,214,강변(동서울터미널),승차,335,1073,3458,5102,3034,2003,1607,1457,1482,1398,1488,1475,1606,1917,1105,793,626,547,181,47,58,49,36,17
2023-01-02,월,212,건대입구,승차,545,775,2041,3740,2158,1021,986,1237,1414,1345,1493,1674,2234,2951,2011,1851,2145,2020,1290,314,95,89,69,47
2023-01-02,월,223,교대(법원.검찰청),승차,82,413,928,1516,1071,873,929,1017,1388,1571,1836,2044,3806,5982,2739,1840,1781,1341,450,127,40,34,26,15
2023-01-02,월,232,구로디지털단지,승차,1255,1975,5971,7720,3957,1923,1678,1765,1872,1637,1866,2302,4989,9910,4480,2434,1871,1393,537,99,31,34,30,28
2023-01-02,월,213,구의(광진구청),승차,441,962,2805,4882,2525,971,812,874,912,773,985,1151,1181,1635,771,566,508,433,269,40,79,68,60,36
2023-01-02,월,227,낙성대(강감찬),승차,424,947,3447,5208,2948,1273,920,977,996,873,893,1054,1322,1812,939,658,568,411,210,67,12,10,18,16
2023-01-02,월,237,당산,승차,246,677,1881,2344,1236,623,570,618,536,598,595,745,1383,2347,882,609,625,452,211,31,36,18,13,6
2023-01-02,월,233,대림(구로구청),승차,1095,1097,2551,3781,2072,1048,901,1087,1031,951,1046,1143,1420,2019,897,629,451,298,169,30,5,4,3,2
2023-01-02,월,247,도림천,승차,12,51,139,144,86,70,51,91,56,77,75,97,107,177,82,46,19,16,3,4,28,19,18,4
2023-01-02,월,205,동대문역사문화공원(DDP),승차,92,136,256,439,438,388,511,619,604,778,1052,1184,1417,1741,898,736,686,441,204,77,154,115,111,85
2023-01-02,월,210,뚝섬,승차,104,289,676,950,597,389,440,504,632,808,919,1283,2613,5963,2456,1263,1104,712,269,52,7,6,7,3
2023-01-02,월,235,문래,승차,138,526,1927,2000,932,550,532,573,640,661,794,1063,2234,4853,1512,933,748,619,254,47,81,74,57,25
2023-01-02,월,225,방배,승차,86,309,929,1216,881,641,613,659,682,614,840,988,1473,2892,1011,754,676,470,167,35,19,15,14,7
2023-01-02,월,229,봉천,승차,541,1034,3469,4958,2627,1187,933,973,1004,844,823,924,941,1075,589,429,427,330,122,30,32,15,21,19
2023-01-02,월,226,사당,승차,443,977,2896,4203,2949,1326,1258,1423,1442,1450,1563,1708,2471,3719,1975,1587,1618,1449,656,167,68,38,34,24
2023-01-02,월,219,삼성(무역센터),승차,134,232,521,720,690,731,1025,1119,1496,1961,2717,3524,7586,13933,6834,4143,3234,1874,481,85,100,70,54,36
2023-01-02,월,207,상왕십리,승차,201,534,1659,2757,1298,598,529,636,567,508,608,615,880,1034,587,400,334,197,76,14,21,15,13,7
2023-01-02,월,228,서울대입구(관악구청),승차,1207,1549,5275,7319,4259,1978,1586,1717,2105,1785,1874,2097,2506,3102,1856,1411,1452,1265,661,118,65,50,38,35
2023-01-02,월,224,서초,승차,58,348,641,1203,939,578,609,595,738,992,1307,1435,2747,4375,1728,1102,873,461,169,28,39,26,24,18
2023-01-02,월,220,선릉,승차,137,357,752,1170,969,978,1276,1603,1870,2337,3237,4092,7661,14202,6673,3680,3360,2403,731,125,60,50,46,23
2023-01-02,월,211,성수,승차,158,340,842,1214,787,633,694,824,1104,1316,1613,2216,5030,11456,4610,2641,2227,1458,561,94,44,38,34,23
2023-01-02,월,201,시청,승차,32,109,213,298,330,427,697,736,778,994,1066,1430,3672,7919,2369,1804,1570,713,295,45,262,174,138,69
2023-01-02,월,245,신답,승차,47,74,267,532,188,84,56,43,74,42,69,63,73,72,42,15,31,9,5,2,17,21,23,12
2023-01-02,월,206,신당,승차,176,399,1069,2005,948,522,472,641,588,581,718,805,917,1137,719,469,420,329,146,35,149,126,146,92
2023-01-02,월,231,신대방,승차,797,1280,3757,5264,2843,1245,945,1038,947,812,770,879,1025,1130,638,446,381,294,139,35,40,50,51,49
2023-01-02,월,234,신도림,승차,1297,2069,5794,5909,2941,1649,1615,1780,1797,1845,1937,2265,3065,4722,2443,1836,1669,1006,430,79,16,8,11,7
2023-01-02,월,230,신림,승차,1314,2576,7960,11211,6072,2657,1958,2130,2034,1856,1819,2129,2257,2511,1702,1318,1219,1129,646,178,116,98,96,67
2023-01-02,월,246,신설동,승차,60,47,206,360,158,107,141,152,188,223,230,291,314,435,168,91,81,69,18,8,153,156,134,49
2023-01-02,월,249,신정네거리,승차,299,778,2129,1883,809,454,426,416,428,368,366,374,416,428,231,170,132,90,45,18,246,238,170,32
