날짜,요일,역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
2023-01-02,월,222,강남,하차,464,2141,6034,13534,13536,5559,3197,3186,3543,3312,3083,3078,4191,6390,3479,1607,1435,995,531,217,91,75,82,57
2023-01-02,월,214,강변(동서울터미널),하차,77,648,664,1423,1207,1061,1081,1209,1289,1398,1586,1935,2550,4198,2931,1608,1330,1129,480,192,47,53,38,41
2023-01-02,월,212,건대입구,하차,52,552,967,2568,2025,1252,1326,1377,1715,1628,1841,2188,3072,5542,3673,1864,1742,1387,797,353,81,72,60,42
2023-01-02,월,223,교대(법원.검찰청),하차,267,895,2153,6923,5577,2335,1630,1421,1672,1471,1289,1395,1817,2522,1508,864,692,579,261,116,34,28,29,22
2023-01-02,월,232,구로디지털단지,하차,171,662,3168,11402,6288,2126,1429,1434,1699,1679,1895,2413,3504,6299,5658,2954,2549,2315,1126,398,27,41,31,50
2023-01-02,월,213,구의(광진구청),하차,59,660,581,1688,921,599,598,673,790,877,1181,1215,1985,3960,2729,1531,1393,1192,564,189,89,91,68,43
2023-01-02,월,227,낙성대(강감찬),하차,63,328,539,1628,1079,731,717,732,791,876,1176,1217,2014,3710,4076,2014,1644,1543,834,268,34,25,18,12
2023-01-02,월,237,당산,하차,104,451,1082,3194,1356,610,503,588,604,581,720,877,1474,2816,1992,1093,961,797,398,120,40,24,33,17
2023-01-02,월,233,대림(구로구청),하차,114,308,800,2460,1181,914,980,1009,1093,1004,1335,1501,1933,2578,2203,1309,1513,1335,503,188,5,7,7,4
2023-01-02,월,247,도림천,하차,20,32,111,256,75,53,55,84,69,71,55,74,77,129,124,69,41,39,16,6,27,19,16,16
2023-01-02,월,205,동대문역사문화공원(DDP),하차,59,303,924,2091,997,662,799,791,778,773,821,706,849,1067,956,700,569,501,269,82,89,72,59,32
2023-01-02,월,210,뚝섬,하차,75,601,1582,6616,4006,1248,771,804,820,758,833,828,1044,1342,877,436,357,342,204,78,15,15,9,8
2023-01-02,월,235,문래,하차,70,393,1531,5949,2446,723,623,672,648,604,656,795,1060,2097,1617,772,601,462,244,100,53,52,51,37
2023-01-02,월,225,방배,하차,99,421,1056,3158,1894,794,526,538,599,622,687,599,950,1301,1033,625,524,483,258,93,20,16,15,10
2023-01-02,월,229,봉천,하차,40,198,381,957,691,623,682,666,741,906,1231,1339,1969,3417,3527,1701,1330,1219,701,201,48,37,26,14
2023-01-02,월,226,사당,하차,142,1081,1670,3054,1725,1312,1425,1343,1407,1385,1784,2205,3444,5431,4646,2384,1815,1712,875,291,33,30,25,23
2023-01-02,월,219,삼성(무역센터),하차,231,1634,5440,15001,9706,3225,2039,1994,1972,1797,1561,1491,1735,1975,1200,660,480,337,203,98,75,66,63,58
2023-01-02,월,207,상왕십리,하차,20,205,469,1313,641,439,435,516,463,580,655,680,1180,2226,1441,764,738,554,339,134,25,19,15,9
2023-01-02,월,228,서울대입구(관악구청),하차,92,451,830,2641,2306,1531,1552,1530,1613,1800,2071,2310,3532,6620,6337,3212,2543,2306,1200,502,64,43,32,23
2023-01-02,월,224,서초,하차,196,684,1651,5165,3326,1294,756,675,851,634,576,670,707,809,683,357,351,299,137,51,34,24,27,33
2023-01-02,월,220,선릉,하차,266,1422,4812,13310,10434,3724,1996,1854,2011,1690,1425,1271,1544,1930,1274,767,578,530,288,116,44,44,54,47
2023-01-02,월,211,성수,하차,164,1224,3507,12630,7041,2269,1348,1371,1579,1538,1477,1521,1730,2072,1313,614,471,439,226,160,55,51,42,36
2023-01-02,월,201,시청,하차,77,651,3073,10259,3602,834,663,637,696,598,559,559,589,556,390,261,248,209,106,34,163,125,121,94
2023-01-02,월,245,신답,하차,10,23,32,80,47,36,50,38,54,49,82,126,187,470,304,123,125,87,64,15,21,29,20,24
2023-01-02,월,206,신당,하차,37,283,523,1230,741,561,515,572,654,691,737,872,1130,1810,1217,641,579,505,292,103,125,123,108,50
2023-01-02,월,231,신대방,하차,49,284,525,1105,571,531,508,684,700,861,1136,1287,2133,3573,3618,2081,1894,1635,740,278,50,53,52,39
2023-01-02,월,234,신도림,하차,181,661,1594,4972,2377,1816,1543,1531,1657,1707,2018,2290,3339,6272,5181,2347,2157,1823,1095,560,21,23,20,25
2023-01-02,월,230,신림,하차,129,544,764,1768,1480,1135,1295,1398,1668,2013,2449,2980,4255,8718,8683,4417,3787,3288,1804,664,160,121,106,66
2023-01-02,월,246,신설동,하차,12,82,224,558,287,166,172,144,160,192,192,146,185,304,239,142,119,89,52,29,123,156,138,113
2023-01-02,월,249,신정네거리,하차,32,71,165,424,301,243,282,317,338,382,526,652,987,2025,1557,688,707,475,287,95,241,252,185,133
2023-01-02,월,240,신촌,하차,98,537,1444,3067,3781,2082,1745,2029,2493,1720,1609,1911,2266,4106,2610,1410,1071,1033,549,185,105,93,75,45
2023-01-02,월,242,아현,하차,34,188,325,771,416,308,332,340,393,367,515,570,801,1338,1047,620,480,415,205,101,53,33,21,9
2023-01-02,월,248,양천구청,하차,38,66,188,379,186,143,158,233,239,252,323,369,685,1291,1111,480,495,296,215,89,17,25,16,30
2023-01-02,월,221,역삼,하차,335,1477,5581,16212,14426,5169,2135,1775,1891,1496,1505,1263,1498,2191,1326,781,607,438,236,76,131,122,134,86
2023-01-02,월,236,영등포구청,하차,109,490,1653,5812,2231,909,718,659,773,720,757,889,1051,2141,1459,784,584,518,282,116,0,0,0,0
2023-01-02,월,208,왕십리(성동구청),하차,35,265,516,1044,677,451,466,514,538,581,680,745,1074,2079,1306,720,559,528,258,145,9,5,5,2
2023-01-02,월,244,용답,하차,12,48,61,144,107,74,85,112,116,128,140,184,225,482,300,173,199,148,75,37,103,110,84,72
2023-01-02,월,250,용두(동대문구청),하차,4,40,88,254,108,87,104,94,130,128,144,144,173,342,229,121,92,58,37,16,186,257,195,161
2023-01-02,월,203,을지로3가,하차,72,799,3388,8313,2846,1133,856,746,806,773,648,761,872,1082,617,329,335,249,170,55,21,18,20,12
2023-01-02,월,204,을지로4가,하차,52,508,1445,3689,1613,887,801,663,709,596,541,474,421,494,348,205,215,223,135,62,100,68,60,43
2023-01-02,월,202,을지로입구,하차,89,1028,6090,15408,6606,2546,1710,1686,1811,1497,1502,1595,1788,2011,1302,787,665,500,256,108,60,52,42,47
2023-01-02,월,241,이대,하차,31,241,470,1705,1104,801,778,894,709,762,751,690,934,1686,1301,721,617,571,394,125,66,56,36,29
2023-01-02,월,216,잠실(송파구청),하차,176,1132,3052,7201,5577,3233,3309,3209,3236,3228,3501,3965,5487,8856,6637,3341,2606,2309,1098,281,103,125,85,78
2023-01-02,월,215,잠실나루,하차,63,387,844,1478,973,633,547,716,742,626,643,638,932,1652,1317,635,572,525,264,89,37,26,21,14
2023-01-02,월,217,잠실새내,하차,24,300,538,1055,1061,807,763,835,949,1034,1031,1334,1861,3275,2323,1240,1049,826,394,147,15,16,9,5
2023-01-02,월,218,종합운동장,하차,43,287,477,822,487,281,233,277,277,265,310,355,631,1261,809,340,323,292,140,68,10,8,7,4
2023-01-02,월,243,충정로(경기대입구),하차,41,287,1015,2813,1066,409,241,301,290,300,353,423,501,912,635,347,303,251,149,58,19,13,12,6
2023-01-02,월,209,한양대,하차,10,207,383,1532,2220,767,428,757,664,353,350,299,288,361,236,188,172,150,109,44,1,1,1,2
2023-01-02,월,238,합정,하차,104,497,1409,4162,3399,1517,1192,1148,1333,1247,1305,1585,2129,3518,2526,1137,920,840,495,205,85,61,51,24
2023-01-02,월,239,홍대입구,하차,131,604,1533,4272,4410,2782,2796,3666,3838,3729,3847,4352,5138,7109,5300,2889,2070,1701,984,472,126,105,79,57
2023-01-03,화,222,강남,하차,470,2097,6885,12711,14134,6085,3712,3404,3957,3358,3314,3305,4561,6521,3809,1738,1462,1079,589,253,109,91,95,67
2023-01-03,화,214,강변(동서울터미널),하차,65,526,712,1524,1128,1000,950,1067,1233,1318,1623,1846,2577,4348,2895,1798,1568,1286,608,239,58,63,48,55
2023-01-03,화,212,건대입구,하차,65,548,977,2689,2036,1298,1316,1458,1706,1718,1959,2255,3302,5888,3854,2036,1866,1544,839,423,98,88,69,50
2023-01-03,화,223,교대(법원.검찰청),하차,269,897,2285,6626,6127,2500,1967,1681,1883,1734,1553,1512,1933,2852,1819,897,742,725,340,102,46,39,39,28
