역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,승차,35,62,169,268,384,554,757,785,989,1122,1373,1694,3406,5884,2918,3254,1971,1288,748,300,374,284,227,124
202,을지로입구,승차,96,112,345,578,811,1011,1278,1415,1790,2003,2442,2848,5422,9573,5388,6169,3591,2847,1457,673,164,128,105,49
203,을지로3가,승차,40,70,189,367,518,639,737,776,887,1017,1166,1417,3012,4919,2690,2768,1876,1438,968,434,95,76,57,24
204,을지로4가,승차,35,53,167,326,377,484,566,613,700,789,888,1112,2021,2472,1489,1230,722,455,278,119,145,123,99,49
205,동대문역사문화공원(DDP),승차,220,133,287,446,495,544,613,669,735,848,990,1224,1457,1691,1212,1069,894,698,461,251,241,191,181,145
206,신당,승차,229,334,968,1685,1145,1018,724,692,668,682,723,830,974,1119,881,776,643,532,324,164,207,205,213,155
207,상왕십리,승차,218,413,1371,2272,1532,1289,824,693,622,596,622,675,837,946,758,594,467,307,169,82,29,21,20,13
208,왕십리(성동구청),승차,279,292,860,1530,1116,960,736,672,684,703,785,977,1122,1269,919,931,894,875,603,298,25,17,10,6
209,한양대,승차,39,68,181,295,245,307,420,537,641,801,995,1350,1769,1523,1023,891,763,498,351,148,9,7,5,2
210,뚝섬,승차,116,234,601,882,687,659,577,629,749,887,1101,1431,2416,4503,2602,2558,1740,1144,646,290,12,9,10,5
211,성수,승차,197,267,754,1065,939,911,888,972,1214,1447,1778,2272,4244,8301,4672,4786,3068,2088,1164,524,68,68,59,37
212,건대입구,승차,543,603,1778,3102,2360,1943,1488,1375,1431,1494,1638,1874,2278,2818,2226,2371,2296,2272,1621,764,132,129,104,64
213,구의(광진구청),승차,514,779,2300,3992,2865,2184,1448,1078,976,913,937,1210,1261,1588,984,916,663,564,366,175,113,109,87,57
214,강변(동서울터미널),승차,329,842,2571,3986,3280,2893,2103,1745,1534,1385,1397,1440,1624,1859,1395,1213,906,635,364,164,87,75,67,33
215,잠실나루,승차,130,381,1275,1672,1362,1214,980,857,793,829,906,1154,1356,1266,813,645,397,286,156,74,41,33,31,19
216,잠실(송파구청),승차,483,1441,3950,5744,4933,3938,3212,2875,2991,3215,3769,4345,5776,7612,5747,6243,4875,3679,1941,959,329,266,184,58
217,잠실새내,승차,199,529,1912,2807,2181,1767,1279,1105,1032,983,1095,1147,1295,1470,1182,1122,964,900,567,287,25,25,18,6
218,종합운동장,승차,59,180,554,810,694,572,451,391,370,410,446,583,686,690,440,505,1143,685,507,263,17,12,9,3
219,삼성(무역센터),승차,168,193,466,659,755,865,1178,1398,1808,2287,2984,3859,7264,10813,6944,6647,4502,3000,1512,696,122,89,71,46
220,선릉,승차,172,308,682,1143,1163,1360,1598,1814,2185,2577,3317,4248,7060,10733,6915,6203,4461,3207,1732,876,85,80,77,41
221,역삼,승차,125,240,493,885,844,945,1143,1285,1612,1967,2655,3411,7663,10223,7576,6111,4440,2770,1558,686,198,211,189,82
222,강남,승차,261,475,1268,2143,1943,2050,2242,2562,3065,3496,4333,5148,8100,11066,8701,7971,7462,6102,3702,1908,234,218,166,85
223,교대(법원.검찰청),승차,93,319,819,1282,1127,1145,1152,1162,1433,1723,1930,2115,3474,4852,2995,3017,2310,1787,1003,511,60,47,39,23
224,서초,승차,71,296,584,967,962,872,883,840,975,1134,1377,1562,2497,3455,2083,1959,1350,859,463,207,51,37,29,20
