역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,하차,74,547,2281,7504,3703,3354,1676,980,992,863,808,711,780,825,519,419,313,247,176,108,261,228,197,154
202,을지로입구,하차,106,811,4234,11489,6502,5931,3316,2240,2054,1802,1808,1780,2060,2240,1538,1223,921,700,456,270,105,90,84,61
203,을지로3가,하차,67,551,2353,6140,3153,2935,1455,932,920,809,804,827,976,1196,824,657,488,371,257,150,39,37,37,19
204,을지로4가,하차,48,390,1136,2734,1667,1582,1072,816,774,705,639,591,585,608,442,362,296,254,184,116,146,123,102,72
205,동대문역사문화공원(DDP),하차,53,269,729,1689,1182,1314,1055,956,936,920,881,869,973,1113,1100,902,767,611,412,245,118,102,88,50
206,신당,하차,41,234,490,1047,801,782,690,656,698,714,783,911,1178,1812,1337,1147,859,704,450,280,180,193,171,88
207,상왕십리,하차,24,170,391,1062,650,671,499,489,521,567,674,794,1132,1865,1401,1225,971,795,525,321,42,31,28,17
208,왕십리(성동구청),하차,40,209,427,948,694,671,568,561,591,608,665,768,1097,1790,1238,1084,798,657,454,307,17,11,7,5
209,한양대,하차,18,194,406,1991,1947,2081,1053,1324,922,815,563,452,511,657,381,315,226,197,142,90,7,5,4,3
210,뚝섬,하차,95,485,1297,4726,3451,2721,1832,1166,1091,1003,1022,1047,1205,1578,1068,837,584,435,300,184,15,14,11,10
211,성수,하차,155,944,2418,9069,5838,4974,3059,2088,1979,1868,1861,1850,2014,2399,1663,1206,822,570,396,293,82,80,72,49
212,건대입구,하차,69,436,773,2140,1774,1805,1614,1586,1684,1690,1875,2182,3051,4807,3629,2950,2349,1827,1205,773,128,118,93,62
213,구의(광진구청),하차,61,564,503,1442,860,968,751,747,832,893,1138,1318,1880,3214,2554,2212,1831,1516,982,590,124,133,106,75
214,강변(동서울터미널),하차,73,527,625,1345,1096,1242,1090,1167,1220,1368,1628,1833,2412,3532,2753,2382,1867,1551,928,546,67,78,58,74
215,잠실나루,하차,95,397,753,1414,1060,1021,767,805,786,761,748,765,974,1409,1163,953,813,675,421,254,49,44,38,28
216,잠실(송파구청),하차,182,936,2484,5880,5530,4929,4322,3645,3539,3496,3801,4238,5663,7937,5950,4945,3885,3140,1927,1021,151,203,149,134
217,잠실새내,하차,33,244,512,914,992,917,942,963,1054,1144,1291,1516,2029,2963,2303,1868,1466,1175,713,441,17,22,15,9
218,종합운동장,하차,31,237,518,908,549,541,331,409,445,406,461,591,1167,1630,1090,865,528,403,261,160,16,19,16,8
219,삼성(무역센터),하차,218,1247,4541,11678,9482,6971,4669,2812,2613,2247,2083,1891,2084,2231,1502,1080,725,479,298,214,87,82,81,68
220,선릉,하차,262,1257,3867,9736,8686,6403,4265,2693,2462,2083,1979,1817,2004,2197,1568,1183,865,664,446,295,58,65,75,59
221,역삼,하차,280,1277,5017,12575,11951,8387,5380,3020,2443,1954,1862,1630,1845,2156,1536,1196,855,635,411,246,174,181,179,114
222,강남,하차,441,1607,4982,10169,11156,7583,5870,3857,3682,3278,3328,3376,4243,5846,4003,3056,2072,1427,895,519,128,117,109,85
223,교대(법원.검찰청),하차,273,730,1837,5297,5037,3755,3131,2133,2083,1864,1817,1803,2222,2644,1821,1409,1024,809,492,298,55,47,46,39
224,서초,하차,164,571,1593,3869,3361,2593,1708,1087,947,787,762,762,896,1001,799,579,479,391,240,140,42,32,35,46
225,방배,하차,104,371,880,2561,1985,1732,1203,979,883,885,848,874,1100,1309,1070,844,699,611,380,233,30,28,21,18
226,사당,하차,159,849,1512,2538,1911,1850,1800,1681,1613,1607,1888,2398,3701,5517,4405,3549,2815,2264,1468,879,58,53,40,38
227,낙성대(강감찬),하차,81,273,615,1342,1123,1146,896,866,879,934,1116,1294,1911,3333,3166,2588,2285,1975,1300,771,48,36,25,17
228,서울대입구(관악구청),하차,96,374,850,2220,2116,2208,1771,1691,1726,1768,2049,2383,3344,5652,5162,4142,3576,2980,1942,1231,102,70,52,35
229,봉천,하차,57,183,377,828,697,742,753,744,811,899,1175,1326,1847,2968,2797,2198,1925,1559,1022,606,83,60,50,22
230,신림,하차,139,454,790,1427,1413,1408,1461,1494,1655,1825,2359,2888,4113,7256,6970,5534,4955,4059,2744,1592,229,186,156,98
231,신대방,하차,69,245,474,852,669,686,640,699,771,891,1210,1399,2032,3141,3042,2496,2366,2009,1293,762,65,68,67,53
232,구로디지털단지,하차,187,553,2651,7708,5555,4231,2674,1779,1861,1804,2138,2473,3451,5479,4942,3957,3514,2933,1910,1113,39,55,48,67
233,대림(구로구청),하차,121,284,702,1804,1245,1324,1146,1058,1092,1092,1330,1544,1959,2381,2043,1704,1745,1547,952,562,8,13,11,9
234,신도림,하차,170,551,1351,3653,2417,2580,2057,1874,1979,1925,2228,2552,3567,5778,4686,3725,3089,2475,1829,1208,30,30,26,31
235,문래,하차,83,309,1200,4375,2378,2099,1208,810,798,762,824,902,1205,1949,1551,1214,946,699,459,264,95,84,81,51
236,영등포구청,하차,127,403,1253,4178,2048,2024,1135,840,879,833,884,959,1234,1916,1447,1188,926,715,499,302,0,0,0,0
237,당산,하차,121,356,935,2654,1402,1337,800,643,691,701,832,1015,1544,2514,1923,1661,1385,1109,765,406,63,45,47,30
238,합정,하차,110,389,1030,3255,2980,2340,1955,1509,1573,1484,1555,1735,2337,3562,2742,2097,1560,1134,795,484,124,101,85,52
239,홍대입구,하차,127,486,1235,3551,4378,3654,3833,3724,4065,3932,4163,4378,5433,7083,5662,4239,3217,2284,1608,961,165,152,124,80
240,신촌,하차,106,433,1144,2847,3257,2811,2545,2241,2306,2045,2005,2023,2652,3752,2802,2205,1675,1229,877,487,152,141,112,70
241,이대,하차,30,174,449,1427,1635,1564,1150,1110,1091,872,910,873,1132,1604,1264,1068,892,770,575,330,97,95,75,47
242,아현,하차,34,150,369,715,488,537,400,418,435,466,531,594,801,1184,958,810,699,564,379,220,76,56,43,22
243,충정로(경기대입구),하차,36,216,764,2130,1139,1041,567,392,414,399,408,441,556,766,597,504,430,355,248,146,31,24,22,11
244,용답,하차,16,34,66,146,194,148,128,125,140,124,150,188,233,398,284,255,234,195,134,86,155,180,140,118
245,신답,하차,9,19,31,66,42,49,44,48,53,62,85,116,157,345,260,208,176,119,88,45,36,44,35,34
246,신설동,하차,13,55,157,446,275,274,210,181,206,179,182,165,195,260,205,181,141,120,83,55,170,263,228,183
247,도림천,하차,15,25,118,185,100,101,56,66,54,68,63,71,81,116,106,84,69,51,39,22,42,30,27,25
248,양천구청,하차,36,68,158,335,195,225,189,227,258,293,365,448,664,1043,964,727,644,449,354,189,20,31,24,44
249,신정네거리,하차,36,75,146,353,272,297,310,337,379,413,550,696,1009,1679,1391,1079,896,653,460,253,318,361,249,194
250,용두(동대문구청),하차,5,29,84,190,132,153,127,117,141,140,157,153,178,293,212,175,144,96,68,40,271,400,333,279
