버스정류장ARS번호,버스정류장명,역번호,역명,거리
1001,종로2가사거리,201,시청,0.01
1002,창경궁.서울대학교병원,204,을지로4가,0.01
1003,명륜3가.성대입구,202,을지로입구,0.02
1004,종로2가.삼일교,203,을지로3가,0.0
1005,혜화동로터리.여운형활동터,204,을지로4가,0.02
1006,서대문역사거리,201,시청,0.01
1007,서울역사박물관.경희궁앞,201,시청,0.01
1008,서울역사박물관.경희궁앞,201,시청,0.01
1009,광화문,201,시청,0.01
1010,광화문,201,시청,0.01
1011,종로1가,202,을지로입구,0.0
1012,종로1가,202,을지로입구,0.0
1013,종로2가,202,을지로입구,0.0
1014,종로2가,201,시청,0.01
1015,종로3가.탑골공원,203,을지로3가,0.0
1016,종로3가.탑골공원,203,을지로3가,0.0
1017,종로4가.종묘,204,을지로4가,0.0
1018,종로4가.종묘,204,을지로4가,0.0
1019,종로5가.광장시장,204,을지로4가,0.0
1020,종로5가.광장시장,204,을지로4가,0.0
1021,종로6가.동대문종합시장,204,을지로4가,0.01
1022,종로6가.동대문종합시장,204,을지로4가,0.01
1023,동대문역.흥인지문,206,신당,0.01
1037,동대문역.흥인지문,206,신당,0.01
1041,동묘앞,206,신당,0.01
1044,동묘앞,206,신당,0.01
1117,경복궁,201,시청,0.01
1118,KT광화문지사,201,시청,0.01
1120,광화문,201,시청,0.01
1123,서울역사박물관.경교장.강북삼성병원,201,시청,0.01
1125,광화문,201,시청,0.01
1126,세종문화회관,201,시청,0.01
1129,광화문.광화문빌딩,201,시청,0.01
1130,덕성여중고,201,시청,0.01
1131,안국역.서울공예박물관,202,을지로입구,0.01
1169,서대문역사거리.적십자병원,201,시청,0.01
1172,창덕궁.서울돈화문국악당,202,을지로입구,0.01
1198,원남동,204,을지로4가,0.01
1199,창덕궁.우리소리박물관,202,을지로입구,0.01
1200,안국역.인사동,202,을지로입구,0.01
1204,종로5가.효제동.김상옥의거터,204,을지로4가,0.01
1214,동대문,204,을지로4가,0.01
1215,충신동,204,을지로4가,0.01
1217,충신동,204,을지로4가,0.01
1218,현대그룹빌딩,204,을지로4가,0.01
