역번호,역명,구분,카이제곱통계량,P값,자유도,지하철 기대 빈도,버스 기대 빈도,동일 여부
201,시청,승차,0.19212955026504264,0.9999999999999998,19,"[0.00664096 0.0101175  0.02335658 0.03598243 0.03180721 0.03174758
 0.03804386 0.04113816 0.04695435 0.05171147 0.06037262 0.06958207
 0.10342167 0.14558249 0.08134863 0.08115539 0.06019334 0.044946
 0.02530075 0.01059694]","[0.00654952 0.0099782  0.02303499 0.035487   0.03136927 0.03131046
 0.03752004 0.04057174 0.04630784 0.05099947 0.05954136 0.06862401
 0.10199768 0.143578   0.08022856 0.08003798 0.05936455 0.04432715
 0.02495239 0.01045103]",동일
201,시청,하차,0.20448186394159495,0.9999999999999997,19,"[0.01323395 0.02460761 0.06811826 0.173724   0.098816   0.08431507
 0.0588339  0.0486693  0.05064319 0.0473215  0.04741583 0.04748838
 0.05189475 0.05508121 0.03683437 0.02837569 0.02504107 0.02134704
 0.01246315 0.00577574]","[0.01302566 0.02422031 0.06704614 0.17098973 0.09726072 0.08298802
 0.05790791 0.04790329 0.04984611 0.0465767  0.04666955 0.04674095
 0.05107797 0.05421428 0.03625463 0.02792908 0.02464695 0.02101105
 0.01226699 0.00568483]",동일
202,을지로입구,승차,0.10275170903391653,1.0,19,"[0.00554607 0.00717818 0.01708221 0.02861902 0.02561987 0.02628727
 0.03314939 0.03735414 0.04544691 0.05195416 0.06255031 0.06924167
 0.09869852 0.14011004 0.08845373 0.09387563 0.0685669  0.05768408
 0.02974779 0.01283413]","[0.00546962 0.00707924 0.01684676 0.02822455 0.02526674 0.02592494
 0.03269247 0.03683927 0.04482049 0.05123805 0.06168814 0.06828728
 0.09733811 0.13817883 0.08723453 0.0925817  0.0676218  0.05688899
 0.02933776 0.01265723]",동일
202,을지로입구,하차,0.08864340757552994,1.0,19,"[0.01281814 0.02180817 0.06773479 0.14572828 0.09553693 0.08210871
 0.06468998 0.05544456 0.05545191 0.05140631 0.05106757 0.05208627
 0.05706498 0.05895453 0.0390119  0.02847197 0.02365111 0.01917573
 0.01160757 0.0061806 ]","[0.01261197 0.0214574  0.06664531 0.14338432 0.09400028 0.08078804
 0.06364948 0.05455276 0.05456    0.05057947 0.05024618 0.05124849
 0.05614712 0.05800628 0.03838442 0.02801402 0.0232707  0.0188673
 0.01142086 0.00608119]",동일
203,을지로3가,승차,0.12530848046125145,1.0,19,"[0.00466607 0.00860627 0.02075257 0.0313115  0.03118141 0.03445512
 0.0395008  0.04304907 0.04784888 0.05182943 0.05691265 0.0632785
 0.09267682 0.12612076 0.08072877 0.0790074  0.06880889 0.05958202
 0.03985793 0.01982514]","[0.0045594  0.00840952 0.02027815 0.0305957  0.03046858 0.03366745
 0.03859778 0.04206494 0.04675502 0.05064456 0.05561158 0.06183191
 0.09055815 0.12323754 0.07888325 0.07720123 0.06723586 0.05821993
 0.03894675 0.01937193]",동일
203,을지로3가,하차,0.11367238824324749,1.0,19,"[0.01197187 0.02271945 0.06679808 0.14625307 0.09043717 0.08141344
 0.05981185 0.05091088 0.05262522 0.0487355  0.04918711 0.05224761
 0.05870151 0.06194494 0.04373961 0.03297471 0.0269572  0.02209607
 0.01347787 0.00699684]","[0.01174699 0.02229268 0.06554334 0.14350583 0.08873839 0.07988416
 0.05868834 0.04995456 0.0516367  0.04782004 0.04826318 0.05126618
 0.05759885 0.06078135 0.042918   0.03235531 0.02645083 0.02168102
 0.0132247  0.00686541]",동일
204,을지로4가,승차,0.0857207023161725,1.0,19,"[0.00678624 0.01057165 0.02355249 0.03861936 0.03653755 0.0387362
 0.0444918  0.04925422 0.05537812 0.06097135 0.06871045 0.07939135
 0.11081462 0.12292861 0.07690765 0.06256256 0.04720975 0.03665905
 0.02099098 0.00892601]","[0.00670717 0.01044848 0.02327807 0.03816939 0.03611184 0.03828487
 0.04397341 0.04868034 0.05473289 0.06026095 0.06790988 0.07846633
 0.10952347 0.12149632 0.07601157 0.06183362 0.04665969 0.03623192
 0.0207464  0.00882201]",동일
204,을지로4가,하차,0.04426336418133442,1.0,19,"[0.01150303 0.0262176  0.06225603 0.13115346 0.08856456 0.08150916
 0.06596278 0.05922595 0.05988206 0.05599835 0.05274631 0.05161787
 0.05324045 0.05474595 0.0389601  0.03006671 0.02713415 0.02464816
 0.01662279 0.00794454]","[0.011338   0.02584145 0.06136282 0.12927177 0.0872939  0.08033972
 0.06501639 0.05837622 0.05902292 0.05519492 0.05198955 0.05087729
 0.05247659 0.05396049 0.03840113 0.02963534 0.02674484 0.02429453
 0.0163843  0.00783056]",동일
205,동대문역사문화공원(DDP),승차,0.0575288517320227,1.0,19,"[0.01741631 0.0146786  0.02852311 0.04413101 0.04093142 0.04041253
 0.04415574 0.0497047  0.05364037 0.05989341 0.06881706 0.07983207
 0.08670532 0.09227303 0.06855194 0.05978985 0.05553297 0.04682634
 0.03060745 0.01757677]","[0.01672609 0.01409688 0.02739271 0.04238206 0.03930928 0.03881095
 0.04240582 0.04773486 0.05151456 0.05751979 0.06608979 0.07666827
 0.08326912 0.08861618 0.06583518 0.05742034 0.05333216 0.04497057
 0.02939446 0.01688019]",동일
205,동대문역사문화공원(DDP),하차,0.02428619020505148,1.0,19,"[0.01083758 0.01752503 0.03626213 0.07117553 0.05794633 0.06216059
 0.05848699 0.0588154  0.06018749 0.06103842 0.06129925 0.06239373
 0.06711338 0.07537065 0.06324125 0.05116974 0.04611307 0.03994882
 0.02609642 0.01281817]","[0.01059175 0.01712751 0.03543961 0.06956106 0.05663194 0.06075061
 0.05716034 0.0574813  0.05882226 0.0596539  0.05990881 0.06097846
 0.06559106 0.07366103 0.06180676 0.05000906 0.04506709 0.03904267
 0.02550448 0.01252742]",동일
